1,2,0
8,12,8
15,11,8
16,10,8
17,7,8
22,4,4
23,8,9
28,12,0
30,12,8
33,8,8
35,8,8
42,4,4
52,12,8
63,10,9
65,10,9
67,12,3
72,12,4
76,8,8
80,12,3
81,10,8
84,12,9
85,10,8
91,8,8
94,8,8
95,7,4
96,10,8
98,10,0
103,8,8
110,10,4
120,10,2
121,8,8
128,10,2
130,12,4
131,8,0
134,8,3
135,8,2
137,10,0
144,12,0
145,8,0
150,8,8
152,7,8
153,12,2
158,12,8
160,12,8
170,8,2
174,10,1
180,4,4
197,6,8
200,12,8
206,8,0
207,6,0
210,6,8
212,10,4
219,8,2
225,8,8
233,8,8
239,2,8
243,10,11
246,10,0
248,12,8
255,10,9
257,6,4
260,11,0
266,8,0
268,10,0
273,2,3
282,10,1
292,10,8
304,8,9
311,8,9
312,8,8
318,12,0
330,12,2
332,10,8
334,6,4
345,10,8
351,6,8
353,8,2
356,8,2
357,12,9
368,10,4
369,6,9
371,10,8
373,10,4
378,12,8
379,8,0
387,10,8
396,5,4
407,9,0
448,11,0
449,12,8
450,8,8
451,8,8
460,10,8
468,8,9
480,8,2
483,12,8
488,6,0
490,8,0
491,8,2
494,10,3
508,8,2
524,10,2
529,12,0
536,8,0
542,10,0
543,11,8
551,8,2
556,8,8
562,8,8
570,12,9
580,10,8
583,10,8
589,5,9
590,12,4
596,10,8
597,6,9
606,11,8
608,10,8
610,10,9
617,8,2
620,7,0
621,12,0
628,8,2
632,9,0
638,10,0
640,8,8
643,8,8
645,12,0
647,11,8
657,10,8
658,10,0
662,8,8
669,10,4
670,12,3
672,10,4
673,12,8
675,8,8
676,12,0
677,10,0
685,12,2
687,4,0
693,10,4
699,5,8
700,10,8
704,12,8
709,10,0
737,8,8
742,8,8
744,12,8
745,8,0
746,8,8
748,10,2
749,8,8
753,10,8
756,12,8
764,6,4
768,10,0
769,10,8
775,12,9
777,6,0
778,3,0
780,6,9
781,8,8
783,8,3
788,8,8
800,2,0
804,5,9
813,10,9
817,8,2
828,12,9
836,6,8
839,10,8
840,12,0
841,12,4
843,6,3
845,12,0
847,12,0
859,2,4
860,8,8
864,7,2
865,10,9
869,11,2
877,11,0
884,11,4
886,11,0
887,12,9
889,12,1
892,12,8
896,10,8
902,10,3
909,4,8
910,6,0
912,8,8
919,10,2
922,10,8
923,8,0
933,5,0
934,6,3
935,12,4
936,12,3
948,8,0
951,12,8
954,10,0
957,12,0
958,1,8
959,8,9
965,12,2
970,10,8
972,11,0
980,12,0
985,5,0
988,10,8
993,12,4
995,10,8
997,4,0
1002,8,4
1007,8,0
1012,5,8
1014,8,8
1015,8,8
1022,10,3
1035,11,8
1040,12,8
1048,10,4
1051,12,4
1060,11,4
1062,8,9
1063,6,8
1064,7,4
1068,10,0
1073,12,4
1082,12,0
1095,2,8
1101,10,8
1123,12,4
1134,10,3
1140,12,2
1141,8,8
1148,12,8
1149,8,8
1157,7,8
1163,6,0
1167,8,2
1169,4,0
1181,8,0
1192,8,0
1193,12,0
1196,12,3
1215,8,8
1216,12,9
1219,8,0
1233,12,8
1245,12,3
1259,8,2
1264,10,2
1273,10,4
1281,8,0
1282,6,2
1286,12,8
1288,12,3
1289,10,8
1292,3,8
1303,11,8
1309,6,8
1313,12,8
1317,7,8
1322,3,1
1326,10,3
1327,6,8
1328,10,8
1329,10,8
1333,6,8
1334,10,8
1335,12,8
1336,12,2
1339,10,9
1341,12,8
1347,11,8
1348,10,3
1349,9,0
1351,8,8
1358,7,0
1364,8,0
1365,10,0
1368,9,8
1374,10,0
1378,0,0
1383,10,9
1389,12,8
1395,10,8
1402,8,8
1407,10,8
1408,8,0
1412,12,0
1413,7,9
1427,11,8
1431,5,2
1435,8,8
1439,10,8
1440,12,4
1447,7,0
1450,10,6
1452,12,4
1461,5,4
1464,12,4
1465,8,8
1469,11,2
1472,12,2
1473,8,8
1476,10,4
1482,12,3
1483,10,8
1484,6,1
1489,12,3
1492,4,9
1495,5,4
1496,5,0
1512,10,1
1513,12,8
1525,12,2
1527,5,8
1533,8,8
1535,12,0
1539,8,8
1551,10,2
1555,8,2
1557,12,8
1570,12,8
1578,6,0
1582,6,5
1587,6,9
1604,11,4
1607,11,2
1616,12,0
1617,10,2
1646,12,9
1653,8,8
1658,8,2
1660,8,9
1669,8,4
1672,10,2
1675,10,8
1676,12,2
1682,10,2
1683,10,0
1687,12,3
1693,10,8
1698,10,2
1699,12,4
1709,8,0
1713,6,3
1715,2,8
1721,12,8
1723,12,8
1725,12,8
1726,10,4
1728,12,8
1731,8,0
1732,10,3
1736,5,0
1737,12,8
1738,4,8
1742,12,8
1744,12,8
1749,10,8
1750,12,9
1755,12,9
1762,8,4
1766,8,0
1768,10,0
1776,7,8
1777,11,3
1779,10,8
1781,10,0
1782,7,0
1784,8,4
1786,6,2
1788,12,8
1795,8,8
1801,10,8
1805,6,4
1806,12,8
1812,8,8
1814,6,8
1823,12,8
1828,12,8
1830,12,8
1831,8,8
1832,12,1
1834,8,8
1835,12,4
1842,10,8
1843,2,8
1844,11,2
1856,10,9
1861,8,8
1862,8,2
1864,2,8
1869,10,8
1873,8,4
1877,8,8
1883,5,2
1887,9,9
1902,10,0
1904,11,4
1911,12,8
1915,12,2
1921,10,8
1923,11,4
1925,12,0
1926,10,0
1932,12,4
1934,12,0
1935,8,0
1948,8,3
1951,7,0
1953,11,4
1959,6,4
1960,8,8
1961,6,2
1976,7,4
1996,2,2
2002,12,8
2003,11,8
2005,12,2
2008,10,0
2013,10,4
2016,5,8
2020,12,8
2024,12,4
2026,8,8
2031,12,8
2033,12,8
2038,6,4
2045,10,8
2046,10,2
2050,10,8
2064,10,8
2065,7,0
2072,12,0
2074,12,9
2077,8,0
2081,8,8
2088,5,0
2102,10,2
2106,12,3
2115,10,0
2117,4,3
2118,12,0
2122,5,0
2123,12,8
2125,10,2
2129,10,4
2141,12,4
2143,11,8
2144,12,8
2145,6,2
2148,10,0
2149,8,1
