t_index	term	df
387	action	94
388	actionc	1
389	activ	89
390	activist	19
391	actor	4
392	actress	2
393	actual	66
394	ad	119
395	adam	8
396	adapt	5
397	add	18
398	addali	1
399	adden	1
400	addit	74
401	address	64
402	adem	1
403	aden	169
404	adenabyan	5
405	adenbas	1
406	adequ	7
407	adher	4
408	adiksa	1
409	adjac	4
410	adjam	2
411	adjoin	3
412	adjourn	3
413	adjust	7
414	adlai	1
415	adm	44
416	admen	1
417	administ	9
418	administr	115
419	administrationmedi	1
420	admir	38
421	admiralti	1
422	admiringli	1
423	admiss	2
424	admit	40
425	ado	2
426	adob	1
427	adolesc	2
428	adopt	17
429	adorn	1
430	adoubi	1
431	adrain	1
432	adrenalin	1
433	adriat	1
434	adrift	4
435	adult	10
436	advanc	66
437	advani	1
438	advantag	21
439	adventist	1
440	adventur	2
441	advers	2
442	adversari	2
443	advertis	12
444	advic	6
445	advis	83
446	advisor	10
447	advisori	2
448	advoc	13
449	advocaci	2
450	aegi	5
451	aegiss	1
452	aerial	3
453	aeroflot	1
454	affabl	1
455	affair	48
456	affect	29
457	affection	1
458	affili	6
459	affirm	6
460	afflict	1
461	afford	7
462	affront	2
463	afghan	15
464	afghanarab	1
465	afghanbas	3
466	afghanistan	46
467	afi	2
468	afibia	1
469	afield	1
470	afir	2
471	aflcio	2
472	afloat	13
473	afoul	1
474	afraid	28
475	afredo	1
476	africa	65
477	african	48
478	africanamerican	1
479	aft	3
480	aftehock	1
481	aftermath	14
482	afternoon	59
483	aftershock	43
484	afterward	13
485	afundament	1
486	agarw	1
487	agassi	47
488	agbayani	1
489	age	35
490	agenc	117
491	agenda	14
492	agent	83
493	agglomer	1
494	aggrav	12
495	aggress	24
496	agil	1
497	agit	1
498	ago	207
499	agon	6
500	agoni	3
501	agonizingli	1
502	agre	77
503	agreement	49
504	agricultur	15
505	agustin	1
506	ah	1
507	aha	1
508	ahead	53
509	ahemdabad	1
510	ahm	15
511	ahmad	1
512	ahmadabad	2
513	ahmar	1
514	ahmedabad	20
515	ahold	1
516	ahren	1
517	ai	1
518	aid	158
519	aida	2
520	ail	5
521	ailment	1
522	aim	35
523	ainst	1
524	air	170
525	aircondition	1
526	aircraft	27
527	airdrop	2
528	airfield	1
529	airforc	1
530	airlift	4
531	airlin	6
532	airlock	1
533	airman	1
534	airmen	11
535	airplan	7
536	airport	49
537	airqual	1
538	airstrik	4
539	airtim	2
540	airtoair	1
541	airtraff	1
542	airwav	1
543	airway	3
544	aisl	3
545	aj	1
546	ajax	1
547	ajnar	3
548	akaka	2
549	akan	2
550	akin	3
551	akishio	1
552	akouedo	1
553	al	74
554	ala	4
555	alabama	5
556	alabidin	4
557	alahmar	1
558	alain	1
559	alami	1
560	alamoudi	1
561	alan	5
562	alarm	19
563	alasan	1
564	alaska	3
565	alaskan	1
566	alassan	27
567	alayyam	1
568	albadawi	1
569	albani	1
570	albania	1
571	albanian	18
572	albanianamerican	1
573	albeit	4
574	albert	1
575	alberto	66
576	albright	47
577	album	1
578	alce	3
579	alcohol	5
580	alehandr	1
581	alejandro	14
582	aleksa	1
583	aleksandar	6
584	aler	1
585	alert	62
586	alessio	4
587	alex	10
588	alexa	2
589	alexand	9
590	alexandria	1
591	alexei	1
592	alexeyev	1
593	alexsand	1
594	alfadhli	1
595	alfonso	1
596	alfr	2
597	alfredo	1
598	algamaa	2
599	algamaat	1
600	algeria	3
601	algerian	5
602	algerin	1
603	alghashmi	1
604	alhadith	1
605	alhamdi	1
606	alharazi	2
607	alhassan	1
608	ali	44
609	alia	2
610	alibi	1
611	alien	3
612	alight	1
613	align	5
614	alija	1
615	alik	9
616	aliryani	11
