t_index	term	df
3567	diver	67
3568	divers	8
3569	diversifi	1
3570	divert	8
3571	divid	33
3572	divis	26
3573	divorc	3
3574	divulg	4
3575	dixvil	1
3576	dizzi	2
3577	djahouri	1
3578	djibouti	20
3579	djikal	1
3580	djila	1
3581	djindjic	17
3582	djindjickostunica	1
3583	djukanov	3
3584	djuro	1
3585	dk	1
3586	dmass	3
3587	dmich	1
3588	dmitri	12
3589	dmo	1
3590	dmon	1
3591	dna	5
3592	dnevnik	1
3593	dni	2
3594	doan	1
3595	dobrica	1
3596	dochterman	1
3597	dock	42
3598	docksid	2
3599	doctor	51
3600	doctrin	1
3601	document	44
3602	documentari	1
3603	dodg	1
3604	dodgi	3
3605	doe	93
3606	doer	1
3607	doesnt	43
3608	dog	32
3609	dogged	1
3610	doggedli	1
3611	doha	1
3612	dokic	9
3613	doll	1
3614	dollar	37
3615	dolphin	1
3616	domain	1
3617	dome	2
3618	domest	16
3619	domin	38
3620	dominican	1
3621	dominik	16
3622	dominikov	4
3623	dominion	2
3624	dominiqu	1
3625	domino	2
3626	dominolik	1
3627	donald	35
3628	donaldson	2
3629	donat	19
3630	done	109
3631	dong	1
3632	donkey	1
3633	donna	2
3634	donor	11
3635	donoth	1
3636	dont	207
3637	dooda	1
3638	doom	9
3639	door	47
3640	doortodoor	1
3641	doorway	2
3642	dopher	1
3643	dora	1
3644	dorcol	1
3645	doreen	1
3646	dori	1
3647	dormitori	1
3648	dorothi	2
3649	dose	1
3650	doss	1
3651	dostoyevski	1
3652	dot	3
3653	doubl	35
3654	doublecheck	1
3655	doubled	1
3656	doubledigit	1
3657	doublefault	11
3658	doubt	50
3659	doudou	1
3660	doug	1
3661	dougal	9
3662	dougherti	2
3663	dougla	1
3664	dour	2
3665	dove	1
3666	dover	24
3667	dow	2
3668	downbeat	1
3669	downcorrect	1
3670	downfal	19
3671	downplay	3
3672	downpour	1
3673	downstair	2
3674	downthemiddl	1
3675	downtown	29
3676	dows	1
3677	doyal	1
3678	doze	1
3679	dozen	112
3680	dozo	1
3681	dr	8
3682	draconian	2
3683	draft	16
3684	drag	15
3685	dragan	6
3686	dragana	1
3687	dragesa	1
3688	dragisha	1
3689	dragoljub	8
3690	dragomir	2
3691	dragon	2
3692	drain	8
3693	drama	13
3694	draman	15
3695	dramat	33
3696	drape	12
3697	draper	2
3698	draskov	4
3699	drastic	1
3700	draw	48
3701	drawn	17
3702	dread	1
3703	dream	20
3704	dress	24
3705	dresser	1
3706	drew	23
3707	drexel	1
3708	dri	16
3709	driedup	1
3710	drift	3
3711	drill	8
3712	drink	13
3713	drip	1
3714	drissa	3
3715	drive	61
3716	driven	16
3717	driver	24
3718	driveway	1
3719	drizzl	1
3720	drizzli	1
3721	drop	51
3722	dropin	1
3723	drought	2
3724	drove	22
3725	drown	6
3726	drub	1
3727	drudg	1
3728	drug	41
3729	drugli	1
3730	drugmak	1
3731	drum	1
3732	drumbeat	2
3733	drummer	2
3734	drunk	3
3735	drunken	1
3736	drydock	1
3737	dsd	2
3738	dsedalia	1
3739	du	1
3740	dual	1
3741	duan	1
3742	dub	3
3743	dubai	5
3744	dubiou	1
3745	duboc	1
3746	duc	7
3747	duck	2
3748	duct	6
3749	dudley	12
3750	due	38
3751	duel	3
3752	duffel	2
3753	duffi	4
3754	duffl	1
3755	dug	21
3756	duglon	1
3757	duguid	2
3758	dugup	1
3759	duke	1
3760	dull	1
3761	duluth	1
3762	duma	1
3763	dump	12
3764	duo	1
3765	duopoli	1
3766	dupe	1
3767	duplic	1
3768	durango	2
3769	dure	281
3770	duress	1
3771	dusan	1
3772	dusk	2
3773	dust	13
3774	dusti	11
3775	dutch	3
3776	duti	27
3777	duval	1
3778	dwarf	1
3779	dwell	2
3780	dwi	1
3781	dwight	2
3782	dwindl	11
3783	dwva	3
3784	dwyer	1
3785	dy	5
3786	dye	2
3787	dygalo	2
3788	dynam	4
3789	dynamit	4
3790	dynamitetip	4
3791	dynasti	1
3792	dysfunct	1
3793	e	9
3794	eager	18
3795	eagl	1
3796	eagleton	1
3797	eaker	1
3798	eantwar	1
3799	ear	7
3800	eardrum	2
3801	earli	180
3802	earlier	188
3803	earliest	7
3804	earlyseason	1
3805	earmark	8
3806	earn	22
3807	earnest	5
3808	earshot	1
3809	earth	29
3810	earthmov	3
3811	earthquak	110
3812	earthquakedriven	1
3813	earthquakeravag	1
3814	earthquakestricken	1
3815	earthquaketrigg	2
3816	eas	27
3817	easi	34
3818	easier	12
3819	easiest	2
3820	easili	25
3821	easley	1
3822	east	127
3823	eastern	40
3824	eat	15
3825	eaten	2
3826	eavesdrop	1
3827	eb	3
3828	ebb	5
3829	ebri	1
3830	eccel	1
3831	echeverria	1
3832	echo	28
3833	eclips	2
3834	ecolog	1
3835	ecologist	1
3836	ecommerc	1
3837	econolin	1
3838	econom	83
3839	economi	73
3840	economist	12
3841	ecstat	1
3842	ecuador	10
3843	ecuadorian	1
3844	ed	12
3845	edberg	1
3846	edg	46
3847	edgar	1
3848	edict	1
3849	edific	1
3850	edikipa	1
3851	edinburgh	1
3852	edit	16
3853	editor	16
3854	editori	16
3855	editorinchief	1
3856	edmond	32
3857	edmund	25
3858	edmundo	1
3859	edt	13
3860	eduard	1
3861	eduardo	1
3862	educ	37
3863	edward	6
3864	edwardo	1
3865	edwin	2
3866	eeri	2
3867	eerili	1
3868	effect	76
3869	effici	4
3870	effort	185
3871	effortlessli	1
3872	eg	1
3873	egg	5
3874	egoavil	3
3875	egotist	2
3876	egregi	1
3877	egypt	26
3878	egyptian	31
3879	ehud	8
3880	eight	104
3881	eightday	2
3882	eighteenmonthold	1
3883	eighth	15
3884	eighthcenturi	1
3885	eighthseed	6
3886	eighti	2
3887	eightman	1
3888	eightmemb	1
3889	eightmonth	1
3890	eightvolum	1
3891	eightyear	3
3892	eightyseven	2
3893	eightyyearold	1
3894	eisenhow	3
3895	either	60
3896	eject	2
3897	ekra	1
3898	el	68
3899	elabor	24
3900	elana	1
3901	elast	1
3902	elat	1
3903	elattar	1
3904	elayn	1
3905	elbaum	1
3906	elbow	7
3907	elder	6
3908	elderli	5
3909	eldest	3
3910	elect	298
3911	electionday	1
3912	electionnight	1
3913	elector	80
3914	electr	42
3915	electrician	3
3916	electricpow	1
3917	electrifi	1
3918	electrocut	1
3919	electron	11
3920	eleg	5
3921	element	21
3922	elementari	2
3923	elena	6
3924	elev	4
3925	eleven	12
3926	elia	4
3927	eliac	1
3928	elier	1
3929	elig	10
3930	elimin	32
3931	elit	7
3932	elizabeth	7
3933	ellen	5
3934	elli	2
3935	elliot	2
3936	ellips	2
3937	ellipt	1
3938	ellwood	1
3939	elmisri	1
3940	elnhandcount	1
3941	elnleg	1
3942	elnmilitari	1
3943	elnrdp	1
3944	elong	1
3945	els	34
3946	elsewher	55
3947	elsheikh	3
3948	elsirri	1
3949	elton	1
3950	elud	12
3951	elus	4
3952	em	2
3953	email	7
3954	eman	1
3955	emanuel	1
3956	embargo	31
3957	embark	4
3958	embarrass	10
3959	embassi	116
3960	embattl	9
3961	embed	1
3962	embellish	1
3963	emblemat	1
3964	embrac	20
3965	embroil	1
3966	emerg	109
3967	emerson	2
3968	emigr	7
3969	emil	5
3970	emili	2
3971	emilio	2
3972	emin	2
3973	emir	7
3974	emiss	1
3975	emissari	1
3976	emit	1
3977	emkne	1
3978	emmanuel	3
3979	emot	47
3980	empathet	1
3981	empathi	1
3982	emperor	4
3983	emphas	9
3984	emphasi	7
3985	emphat	5
3986	empir	6
3987	employ	19
3988	employe	50
3989	empow	2
3990	empti	14
3991	emul	3
3992	en	32
3993	enabl	10
3994	enact	4
3995	encircl	1
3996	enclos	1
3997	encor	1
3998	encount	15
3999	encourag	33
4000	end	268
4001	endang	5
4002	enddat	2
4003	endear	1
4004	endeavor	3
4005	endem	1
4006	endoftheyear	2
4007	endors	12
4008	endur	18
4009	enemi	46
4010	energ	3
4011	energet	1
4012	energi	29
4013	enforc	44
4014	engag	25
4015	engend	2
4016	engin	50
4017	engineerman	1
4018	engineman	1
4019	engineroom	2
4020	england	2
4021	english	13
4022	englishderiv	1
4023	englishlanguag	3
4024	englishspeak	4
4025	engrav	1
4026	engulf	7
4027	enhanc	5
4028	enigmat	1
4029	enjoin	1
4030	enjoy	19
4031	enlarg	4
4032	enlist	12
4033	enmesh	1
4034	enmiti	2
4035	enorm	27
4036	enough	136
4037	enqvist	1
4038	enrag	2
4039	enrich	1
4040	ensembl	2
4041	ensign	4
4042	ensnar	2
4043	ensu	9
4044	ensul	1
4045	ensur	34
4046	entail	1
4047	entangl	1
4048	enter	64
4049	enterpris	4
4050	entertain	5
4051	enthusiasm	8
4052	enthusiast	7
4053	entic	4
4054	entir	44
4055	entireti	1
4056	entiti	2
4057	entitl	6
4058	entomb	4
4059	entourag	3
4060	entranc	7
4061	entrench	2
4062	entrepreneur	2
4063	entrepreneuri	2
4064	entrepreneurship	5
4065	entri	3
4066	entrust	1
4067	envelop	1
4068	envi	1
4069	environ	8
4070	environment	11
4071	environmentalist	3
4072	envis	2
4073	envisag	1
4074	envoy	7
4075	epa	1
4076	epicent	31
4077	epicmra	2
4078	epidem	2
4079	epiphani	1
4080	episcop	3
4081	episod	2
4082	equal	20
4083	equanim	1
4084	equip	88
4085	equival	12
4086	er	2
4087	era	43
4088	eras	11
4089	erect	7
4090	erena	1
4091	eri	3
4092	eric	6
4093	erinson	1
4094	erlang	1
4095	ernesto	4
4096	erni	4
4097	erod	8
4098	eros	4
4099	errand	1
4100	errat	8
4101	erron	3
4102	error	47
4103	errorpron	1
4104	errrr	1
4105	erupt	18
4106	es	5
4107	esam	1
4108	escal	9
4109	escap	85
4110	escape	28
4111	escort	10
4112	escud	3
4113	especi	74
4114	espehello	1
4115	espi	6
4116	espionag	34
4117	espitia	1
4118	espo	1
4119	espous	1
4120	essay	3
4121	essenc	3
4122	essenti	16
4123	est	1
4124	establish	49
4125	estat	18
4126	estim	63
4127	estrada	1
4128	estrang	1
4129	et	3
4130	etar	1
4131	etcetera	1
4132	ethan	2
4133	ethic	7
4134	ethiopia	1
4135	ethnic	34
4136	ethnocentr	2
4137	etoge	1
4138	eu	8
4139	eugen	4
4140	eulog	3
4141	euphor	1
4142	euphoria	6
4143	europ	50
4144	european	52
4145	evacu	24
4146	evad	7
4147	evalu	11
4148	evan	5
4149	evanel	1
4150	evapor	3
4151	evas	14
4152	eve	62
4153	evelyn	2
4154	even	311
4155	evenh	1
4156	evenhand	4
4157	evenli	5
4158	event	85
4159	eventu	45
4160	ever	106
4161	everett	1
4162	everi	92
4163	evershrink	2
4164	eversinc	1
4165	evert	11
4166	everworsen	1
4167	everybodi	20
4168	everyday	10
4169	everyon	57
4170	everyth	77
4171	everywher	18
4172	evi	4
4173	evict	2
4174	evid	130
4175	evidenc	1
4176	evidencegath	1
4177	evil	2
4178	evoc	1
4179	evok	1
4180	evolut	3
4181	ewe	4
4182	ex	1
4183	exacerb	1
4184	exact	8
4185	exactli	37
4186	exagger	4
4187	exalt	1
4188	exam	4
4189	examin	47
4190	exampl	40
4191	exasper	2
4192	excabinet	1
4193	excav	12
4194	exceed	5
4195	exceedingli	1
4196	excel	5
4197	except	27
4198	excerpt	5
4199	excess	2
4200	exchang	23
4201	excia	2
4202	excit	9
4203	exclaim	1
4204	exclam	2
4205	exclud	20
4206	exclus	20
4207	exclusion	2
4208	exclusionari	1
4209	excruci	1
4210	excus	7
4211	execut	71
4212	exemplari	1
4213	exemplifi	1
4214	exempt	2
4215	exercis	22
4216	exhaust	26
4217	exhibit	3
4218	exhilar	1
4219	exhort	2
4220	exhous	1
4221	exhusband	3
4222	exil	41
4223	exintellig	7
4224	exintern	1
4225	exist	20
4226	exit	25
4227	exlead	1
4228	exnew	3
4229	exocet	1
4230	exodu	3
4231	exoner	1
4232	expand	18
4233	expans	5
4234	expatri	3
4235	expect	187
4236	expectantli	1
4237	expedi	2
4238	expedit	4
4239	expel	5
4240	expenditur	2
4241	expens	21
4242	experi	46
4243	experienc	8
4244	expert	118
4245	expertis	8
4246	expir	9
4247	explain	35
4248	explan	13
4249	explicit	4
4250	explicitli	6
4251	explod	43
4252	exploit	7
4253	explor	13
4254	explos	222
4255	explosivesladen	3
4256	explosivespack	1
4257	export	19
4258	exportimport	1
4259	expos	8
4260	expossess	2
4261	expresid	7
4262	express	74
4263	expressnew	1
4264	expuls	1
4265	exquisit	1
4266	exsaudi	1
4267	exspi	12
4268	extend	38
4269	extens	34
4270	extent	27
4271	exterior	3
4272	extern	14
4273	extinct	2
4274	extinguish	2
4275	extol	2
4276	extort	4
4277	extra	20
4278	extract	6
4279	extradit	33
4280	extraleg	1
4281	extraordinari	12
4282	extraordinarili	2
4283	extravag	2
4284	extrem	21
4285	extremist	17
4286	extric	2
4287	exuber	1
4288	exud	1
4289	exult	1
4290	exwif	9
4291	eyadema	1
4292	eyal	1
4293	eye	61
4294	eyebal	1
4295	eyelid	1
4296	eyesburn	1
4297	eyewit	10
4298	eyewitnesss	1
4299	f	15
4300	f105	5
4301	f105d	1
4302	f22	1
4303	fa	1
4304	faa	1
4305	fabiani	1
4306	fabric	5
4307	facad	4
4308	face	179
4309	faceoff	2
4310	facetofac	1
4311	facial	1
4312	facil	45
4313	facilit	4
4314	fact	108
4315	factbook	4
4316	factfind	1
4317	faction	13
4318	facto	2
4319	factor	23
4320	factori	20
4321	factual	1
4322	fade	23
4323	fadeyev	1
4324	fagan	1
4325	fahrenheit	1
4326	fail	115
4327	failur	16
4328	faint	6
4329	faintli	1
4330	fair	45
4331	fairfax	1
4332	fairleigh	1
4333	fairli	16
4334	fairskin	1
4335	faisal	1
4336	faith	8
4337	faithbas	1
4338	faithless	1
4339	fake	10
4340	fall	68
4341	fallen	27
4342	fallout	1
4343	faln	1
4344	fals	30
4345	falsif	1
4346	falsifi	5
4347	falter	4
4348	fame	6
4349	famili	213
4350	familiar	17
4351	famou	4
4352	fan	10
4353	fanci	1
4354	fanfar	2
4355	far	178
4356	faraway	3
4357	farc	2
4358	fare	1
4359	farera	1
4360	farewel	16
4361	farflung	3
4362	farid	1
4363	farina	3
4364	farinella	1
4365	farm	9
4366	farmer	8
4367	farmington	1
4368	farrier	1
4369	farther	2
4370	farthest	2
4371	fascin	5
4372	fascist	3
4373	fashion	7
4374	faso	8
4375	fast	22
4376	faster	11
4377	fastest	2
4378	fastfad	1
4379	fastfood	1
4380	fat	2
4381	fatal	8
4382	fatalist	1
4383	fate	32
4384	father	76
4385	fatherinlaw	1
4386	fatherless	1
4387	fatigu	7
4388	fatwa	1
4389	fault	20
4390	faulti	1
4391	favor	49
4392	favorit	14
4393	faw	1
4394	fax	14
4395	fay	1
4396	fayettevil	1
4397	fbi	117
4398	fbile	1
4399	fbiyemeni	1
4400	fda	1
4401	fear	108
4402	fearless	4
4403	fearmong	1
4404	feasibl	4
4405	feast	1
4406	feat	8
4407	featur	19
4408	feb	2
4409	februari	3
4410	fed	15
4411	feder	138
4412	federalist	1
4413	federico	11
4414	fee	5
4415	feed	14
4416	feel	118
4417	feet	61
4418	fehn	2
4419	feign	1
4420	feingold	1
4421	feinstein	3
4422	felix	9
4423	fell	66
4424	fellow	38
4425	fellowstud	1
4426	felon	4
4427	feloni	13
4428	felt	80
4429	femal	13
4430	feminist	1
4431	fenc	6
4432	fend	2
4433	ferdinand	1
4434	ferment	1
4435	fernand	5
4436	fernandez	1
4437	fernando	5
4438	feroci	1
4439	ferraro	1
4440	ferreira	3
4441	ferrer	1
4442	ferrero	12
4443	ferret	2
4444	ferri	4
4445	fertil	3
4446	fervor	5
4447	fest	1
4448	festiv	8
4449	fetch	1
4450	fever	6
4451	feverish	1
4452	fewer	17
4453	fewest	1
4454	fhimah	1
4455	fiance	1
4456	fiberglass	9
4457	fiction	2
4458	fictiti	3
4459	fidel	5
4460	fidelia	2
4461	fidget	2
4462	fie	1
4463	fiefdom	2
4464	field	49
4465	fierc	16
4466	fieri	3
4467	fierrera	1
4468	fife	2
4469	fifteen	3
4470	fifteenth	1
4471	fifth	34
4472	fifthseed	2
4473	fifthset	1
4474	fifti	1
4475	fiftythre	1
4476	fight	76
4477	fighter	14
4478	figur	93
4479	fijimori	1
4480	file	40
4481	filipov	1
4482	fill	60
4483	fillmor	1
4484	film	8
4485	filter	1
4486	filth	1
4487	final	198
4488	finalhour	1
4489	finalist	5
4490	financ	40
4491	financi	63
4492	find	214
4493	fine	43
4494	finest	5
4495	finger	10
4496	fingerpoint	3
4497	fingerprint	5
4498	fingertip	1
4499	finish	57
4500	finit	2
4501	fink	3
4502	finland	2
4503	finsburi	1
4504	fir	4
4505	fire	124
4506	firearm	12
4507	firebal	1
4508	firebomb	1
4509	firebreath	1
4510	firecrack	2
4511	firefight	6
4512	fireman	4
4513	firepow	2
4514	fireston	1
4515	firestorm	1
4516	firework	5
4517	firm	32
4518	firmer	1
4519	firmli	11
4520	first	433
4521	firstclass	1
4522	firstdegre	1
4523	firsthand	1
4524	firstli	1
4525	firstround	16
4526	firstset	4
4527	firstterm	2
4528	firsttim	2
4529	fiscal	3
4530	fischer	2
4531	fish	10
4532	fisheri	1
4533	fisherman	2
4534	fishermen	5
4535	fissur	1
4536	fist	7
4537	fit	27
4538	fitcher	1
4539	fitter	1
4540	fittingli	1
4541	fitzgerald	7
4542	five	182
4543	fivecandid	10
4544	fiveday	4
4545	fiveinch	1
4546	fivememb	3
4547	fiveminut	2
4548	fiveset	6
4549	fivesett	2
4550	fivestori	3
4551	fiveterm	4
4552	fivetim	1
4553	fivevot	1
4554	fiveweek	3
4555	fiveyear	24
4556	fiveyearold	1
4557	fix	15
4558	fizzl	1
4559	fla	14
4560	flabas	2
4561	flabbergast	1
4562	flag	36
4563	flagdrap	6
4564	flagrant	2
4565	flagwav	4
4566	flair	2
4567	flak	1
4568	flake	3
4569	flaku	3
4570	flame	9
4571	flank	6
4572	flare	2
4573	flareup	1
4574	flash	3
4575	flashbulb	1
4576	flashlight	1
4577	flashpoint	3
4578	flat	11
4579	flatb	1
4580	flatfoot	1
4581	flatli	1
4582	flatout	1
4583	flatten	23
4584	flatter	1
4585	flatwar	1
4586	flaw	15
4587	flawless	2
4588	flawlessli	1
4589	flea	1
4590	fled	72
4591	fledgl	2
4592	flee	36
4593	fleet	71
4594	fleischer	1
4595	flesh	2
4596	fletchal	1
4597	fletcher	4
4598	flew	33
4599	flex	1
4600	flexibl	2
4601	flfing	1
4602	fli	49
4603	flier	1
4604	flight	49
4605	flimsi	1
4606	fling	1
4607	flint	1
4608	flintoff	2
4609	flip	3
4610	flipflop	4
4611	float	15
4612	floater	1
4613	flood	36
4614	floodcontrol	2
4615	floodlight	1
4616	floodlit	2
4617	floor	37
4618	flore	15
4619	floresc	1
4620	florez	2
4621	florida	42
4622	florist	1
4623	floss	1
4624	flotilla	12
4625	flour	2
4626	flourish	3
4627	flow	10
4628	flower	8
4629	flown	44
4630	floyd	2
4631	fluctuat	1
4632	fluid	2
4633	flung	5
4634	fluorid	1
4635	flurri	4
4636	flush	1
4637	fluster	2
4638	fluti	1
4639	flux	1
4640	flyaround	1
4641	focu	44
4642	focus	45
4643	focusgroup	1
4644	focuss	2
4645	foe	16
4646	fofana	2
4647	fog	11
4648	foggi	4
4649	foil	6
4650	fold	3
4651	foley	2
4652	folk	7
4653	folklor	1
4654	follow	216
4655	followup	2
4656	foment	3
4657	fond	2
4658	font	1
4659	food	59
4660	fool	2
4661	foolish	1
4662	foot	43
4663	footag	3
4664	footbal	9
4665	footballs	1
4666	foothil	6
4667	foothold	6
4668	footnot	1
4669	footprint	1
4670	footstep	1
4671	footwear	1
4672	footwork	1
4673	forag	4
4674	foray	3
4675	forb	3
4676	forbid	1
4677	forbidden	2
4678	forc	365
4679	forcep	1
4680	forcesix	1
4681	forcibl	2
4682	ford	11
4683	fore	2
4684	forebod	1
4685	forecast	8
4686	foreclos	1
4687	forefront	2
4688	forehand	15
4689	forehead	2
4690	foreign	191
4691	foremost	3
4692	forens	21
4693	forerunn	2
4694	forese	3
4695	foreseen	1
4696	forest	9
4697	foretast	1
4698	forev	9
4699	foreword	1
4700	forg	4
4701	forgav	1
4702	forgeri	1
4703	forget	12
4704	forgiv	7
4705	forgiven	1
4706	forgot	1
4707	forgotten	5
4708	fork	2
4709	form	94
4710	formal	42
4711	format	9
4712	former	267
4713	formerli	9
4714	formid	2
4715	formul	1
4716	formula	3
4717	fornl	1
4718	forprofit	1
4719	forsak	1
4720	fort	11
4721	forth	4
4722	forti	4
4723	fortifi	2
4724	fortitud	1
4725	fortnight	1
4726	fortress	1
4727	fortun	16
4728	fortyseven	1
4729	forum	15
4730	forward	57
4731	foster	4
4732	fought	45
4733	foulsmel	1
4734	found	234
4735	foundat	8
4736	founder	10
4737	fountain	1
4738	four	240
4739	fourblock	1
4740	fourday	4
4741	fourhour	3
4742	fourinch	2
4743	fourminut	1
4744	fourperson	1
4745	fourpoint	1
4746	fourstar	4
4747	fourstori	5
4748	fourterm	2
4749	fourth	53
4750	fourthfloor	1
4751	fourthround	5
4752	fourthseed	1
4753	fourtim	10
4754	fourwheel	1
4755	fourwheeldr	7
4756	fouryear	7
4757	fox	6
4758	foyer	2
4759	fpi	2
4760	fpt	1
4761	fr	1
4762	fraction	7
4763	fractiou	2
4764	fractur	9
4765	fragil	7
4766	fragment	9
4767	fraim	1
4768	frame	5
4769	framework	2
4770	franc	34
4771	francepress	1
4772	franchis	1
4773	franci	6
4774	franciscan	2
4775	francisco	37
4776	francoi	1
4777	franjo	3
4778	frank	28
4779	frankfurt	9
4780	frankli	8
4781	frantic	20
4782	fraser	1
4783	frasur	1
4784	fraud	68
4785	fraudul	5
4786	fraught	3
4787	fray	4
4788	frazier	2
4789	fred	2
4790	freder	1
4791	fredericqu	1
4792	frederik	1
4793	free	113
4794	freed	22
4795	freedom	40
4796	freedomlov	1
4797	freeforal	1
4798	freeh	25
4799	freelanc	1
4800	freeli	14
4801	freelli	1
4802	freemarket	2
4803	freer	2
4804	freewheel	1
4805	freez	2
4806	freight	2
4807	fremd	5
4808	fremont	2
4809	french	64
4810	frenchbuilt	2
4811	frenchmad	1
4812	frenchman	8
4813	frenchmen	1
4814	frenchspeak	1
4815	frenchtrain	1
4816	frenchwoman	2
4817	frenzi	3
4818	frequent	28
4819	fresh	18
4820	fresher	1
4821	freshman	5
4822	freshmen	1
4823	fresno	1
4824	fri	1
4825	friction	1
4826	friday	216
4827	friend	80
4828	friendli	18
4829	friendship	6
4830	frigat	10
4831	frighten	21
4832	frigid	1
4833	frist	2
4834	frond	1
4835	front	77
4836	frontend	5
4837	frontier	1
4838	frontlin	1
4839	frontman	1
4840	frontpag	2
4841	frontrun	2
4842	frontrunn	1
4843	frown	1
4844	froze	7
4845	frozen	4
4846	fruit	7
4847	fruition	1
4848	fruitless	1
4849	frustrat	40
4850	fsb	4
4851	ft	1
4852	fudg	1
4853	fuel	40
4854	fuerth	1
4855	fugazi	5
4856	fugimori	1
4857	fugit	72
4858	fujimori	62
4859	fulfil	5
4860	full	77
4861	fullest	4
4862	fullfledg	1
4863	fulli	37
4864	fullpag	2
4865	fullscal	1
4866	fullthroat	3
4867	fume	1
4868	fun	2
4869	function	14
4870	functionari	2
4871	fund	52
4872	fundament	13
4873	fundamentalist	9
4874	fundrais	20
4875	funer	19
4876	funnel	3
4877	funni	2
4878	furi	5
4879	furiou	12
4880	furious	6
4881	furnish	2
4882	furnitur	6
4883	furor	2
4884	furrow	2
4885	furthermor	3
4886	furthest	1
4887	furtiv	2
4888	fuselag	1
4889	fuss	1
4890	futa	1
4891	futil	4
4892	futur	88
4893	futurist	1
4894	fuzzi	1
4895	g	14
4896	ga	49
4897	gabbi	1
4898	gabe	1
4899	gabon	2
4900	gabriel	1
4901	gadget	1
4902	gadhafi	1
4903	gaell	1
4904	gaff	1
4905	gafney	1
4906	gag	1
4907	gagliardi	2
4908	gagnoa	4
4909	gaig	1
4910	gain	73
4911	gajar	1
4912	gal	1
4913	galapago	2
4914	gale	6
4915	galiardi	1
4916	gallup	3
4917	gallust	3
4918	galo	8
4919	galvan	2
4920	galvin	1
4921	gamarra	1
4922	gambler	2
4923	game	57
4924	gan	3
4925	gandhi	7
4926	gandhinagar	1
4927	gang	17
4928	gangster	1
4929	gangsterstyl	1
4930	gantlet	1
4931	gap	11
4932	gape	16
4933	garag	6
4934	garbag	16
4935	garbageremov	1
4936	garbl	4
4937	garcia	23
4938	garden	13
4939	gari	8
4940	garin	1
4941	garland	1
4942	garment	1
4943	garner	5
4944	garri	2
4945	garro	1
4946	garwood	3
4947	gase	1
4948	gash	4
4949	gasolin	2
4950	gasp	1
4951	gaspow	1
4952	gaston	1
4953	gate	17
4954	gatehous	2
4955	gateway	2
4956	gather	88
4957	gatl	1
4958	gatorad	1
4959	gaudi	1
4960	gaug	3
4961	gauna	2
4962	gaur	1
4963	gautam	1
4964	gave	105
4965	gavel	1
4966	gavlak	1
4967	gawker	1
4968	gay	10
4969	gaye	3
4970	gaza	16
4971	gaze	4
4972	gazett	1
4973	gazilliondollar	1
4974	gbagbo	38
4975	gbessi	1
4976	gear	10
4977	gedda	1
4978	gedrif	1
4979	gee	1
4980	geeman	1
4981	gehman	10
4982	gehmancrouch	1
4983	gejdenson	4
4984	gelu	1
4985	gen	77
4986	gendarm	2
4987	gene	2
4988	gener	222
4989	generalsecretari	1
4990	generos	2
4991	genex	1
4992	genocid	4
4993	genom	1
4994	genrikh	1
4995	gentl	1
4996	gentleman	1
4997	gentlemen	1
4998	gentli	6
4999	genuin	5
5000	geo	1
5001	geoff	1
5002	geofferi	1
5003	geoffrey	3
5004	geographi	1
5005	geolog	11
5006	geologist	2
5007	geopolit	1
5008	georg	117
5009	georgetown	1
5010	georgi	1
5011	georgia	9
5012	georgian	2
5013	gephardt	2
5014	gerald	1
5015	gerd	1
5016	gerhard	5
5017	gerin	1
5018	german	23
5019	germani	63
5020	germanydeport	1
5021	germicid	1
5022	gerri	1
5023	gerstein	1
5024	gestapo	1
5025	gestur	21
5026	get	283
5027	getalong	1
5028	getaway	7
5029	getoutthevot	2
5030	ghee	1
5031	ghost	4
5032	gi	1
5033	giant	11
5034	gift	18
5035	gigant	1
5036	giggl	2
5037	gil	1
5038	gila	1
5039	gilbert	1
5040	gillespi	2
5041	gilman	1
5042	gilmor	2
5043	gimbel	1
5044	gina	1
5045	ginger	2
5046	gingerli	3
5047	girder	1
5048	girl	29
5049	girlfriend	3
5050	giuliani	12
5051	give	167
5052	given	115
5053	gizbert	3
5054	glad	11
5055	gladi	1
5056	gladkovich	1
5057	gladli	1
5058	glanc	5
5059	glascoff	1
5060	glaspi	3
5061	glass	17
5062	gleefulli	2
5063	glen	4
5064	glenni	2
5065	glimps	6
5066	glisten	1
5067	global	19
5068	globe	6
5069	glori	3
5070	gloria	1
5071	glorifi	1
5072	gloriou	2
5073	glove	4
5074	glow	3
5075	glue	4
5076	glum	1
5077	gmc	1
5078	gnassingb	1
5079	gnd	1
5080	go	367
5081	goal	19
5082	goate	1
5083	gobbl	1
5084	god	36
5085	goddess	1
5086	godfear	1
5087	goe	33
5088	goggl	1
5089	goh	1
5090	goin	4
5091	goingaway	1
5092	gokool	1
5093	gold	15
5094	golden	4
5095	goldman	3
5096	goldsmith	3
5097	goldstein	4
5098	golf	4
5099	golfer	1
5100	goliath	1
5101	gon	5
5102	gone	74
5103	good	202
5104	goodbehavior	1
5105	goodby	9
5106	goodnatur	1
5107	goodwil	4
5108	gop	22
5109	gopcontrol	1
5110	gopheld	1
5111	goptrend	2
5112	goran	6
5113	gorbachov	1
5114	gordana	1
5115	gordi	3
5116	gordon	7
5117	gore	65
5118	gorebush	1
5119	gorelieberman	4
5120	gorgeou	1
5121	gorton	8
5122	gosh	1
