5,8,11
7,10,0
15,11,12
21,12,8
25,10,8
26,12,11
31,6,8
35,8,8
41,5,11
48,10,12
52,12,12
54,8,4
62,10,5
63,10,4
64,10,12
71,8,8
72,12,4
74,8,12
78,5,12
84,12,4
95,7,4
104,10,8
116,8,8
117,10,8
133,10,8
139,8,8
149,4,12
158,12,12
159,12,4
160,12,8
162,12,8
163,10,8
176,8,8
182,8,12
187,10,12
195,11,8
196,12,8
197,6,4
199,4,4
206,8,12
207,6,8
214,10,8
219,8,8
225,8,12
227,10,12
235,5,4
236,8,11
239,2,12
251,5,4
259,12,9
266,8,8
269,10,8
278,11,12
287,4,8
291,8,8
293,12,1
294,5,8
299,8,12
307,8,8
308,8,4
309,5,4
316,6,8
320,12,12
322,10,12
327,10,4
329,10,8
337,10,12
346,1,8
348,12,8
383,12,8
389,12,8
390,12,12
397,10,12
404,12,8
420,9,4
422,12,8
425,3,12
430,10,7
433,10,8
440,7,12
448,11,12
449,12,12
450,8,8
454,8,8
455,12,8
460,10,8
463,7,8
464,6,8
467,10,9
468,8,8
479,12,8
481,10,8
484,12,11
487,12,8
488,6,8
489,10,12
494,10,9
499,10,8
500,10,12
507,10,8
511,8,11
514,8,4
526,5,9
528,0,12
536,8,8
542,10,8
549,8,8
558,10,8
559,8,12
560,12,8
562,8,8
572,12,7
573,12,12
581,12,1
586,8,8
587,12,8
589,5,6
591,12,11
594,3,4
596,10,12
598,8,8
599,10,8
601,10,8
605,10,4
611,12,8
613,0,8
618,8,12
620,7,4
628,8,8
637,12,10
640,8,11
641,8,12
653,8,12
656,8,9
661,7,8
669,10,1
687,4,7
701,10,8
702,11,8
703,7,8
705,8,8
708,8,12
710,10,11
712,10,8
713,5,8
716,12,12
721,8,8
722,11,8
728,4,5
734,8,4
739,12,8
741,10,8
743,3,12
746,8,8
749,8,8
751,10,8
753,10,8
754,12,8
757,12,8
760,8,8
764,6,8
765,12,8
770,10,8
773,2,8
777,6,8
785,7,4
794,9,9
804,5,12
818,12,4
826,12,8
828,12,8
830,12,8
834,12,12
839,10,8
844,11,8
848,12,9
852,12,8
854,10,10
857,8,0
863,12,7
864,7,12
866,12,8
875,10,12
876,11,8
881,8,8
884,11,12
885,10,12
888,8,12
889,12,8
896,10,12
899,8,12
902,10,4
904,6,11
905,8,8
912,8,8
920,11,11
922,10,8
930,7,8
932,8,8
936,12,10
940,8,12
942,8,12
951,12,8
955,12,8
959,8,5
961,8,8
963,12,8
973,12,8
974,10,12
978,8,4
982,7,4
986,12,8
987,12,8
996,12,8
998,6,8
999,8,4
1004,5,4
1005,12,10
1010,8,4
1015,8,12
1030,12,4
1047,12,0
1049,12,8
1050,12,8
1054,12,8
1057,8,4
1070,2,12
1074,10,8
1078,5,4
1081,11,12
1082,12,8
1083,12,12
1086,6,12
1096,8,12
1099,10,12
1106,8,11
1107,6,8
1108,12,8
1111,6,8
1126,5,12
1127,12,8
1138,8,8
1141,8,12
1144,11,12
1146,12,8
1159,12,8
1163,6,8
1165,6,11
1168,7,8
1169,4,12
1173,10,11
1181,8,11
1187,7,8
1195,10,4
1203,8,8
1211,7,8
1215,8,11
1216,12,0
1221,8,11
1223,12,8
1225,4,8
1232,8,12
1233,12,12
1234,10,8
1236,12,12
1238,9,8
1239,8,8
1242,8,11
1247,8,12
1254,10,8
1258,12,8
1263,12,11
1264,10,8
1271,12,8
1274,10,12
1275,12,8
1276,10,12
1277,5,11
1289,10,8
1292,3,12
1294,12,8
1296,10,11
1297,12,12
1298,12,12
1300,10,12
1301,12,8
1323,12,8
1325,5,12
1343,2,8
1346,10,4
1348,10,12
1349,9,12
1357,5,4
1368,9,8
1371,8,4
1372,8,8
1374,10,12
1376,12,8
1379,10,8
1380,12,8
1383,10,11
1392,12,8
1404,12,12
1412,12,8
1416,12,12
1423,8,8
1425,7,11
1430,12,4
1431,5,8
1432,12,8
1433,12,8
1437,10,4
1446,8,8
1458,6,8
1463,9,4
1464,12,7
1477,8,8
1489,12,7
1491,4,8
1492,4,8
1510,7,12
1513,12,12
1518,10,8
1521,6,11
1527,5,8
1529,12,5
1532,10,8
1548,11,8
1558,7,12
1567,12,5
1577,3,6
1580,12,12
1581,10,8
1582,6,8
1587,6,11
1588,7,4
1589,12,8
1598,10,12
1599,10,12
1603,12,12
1611,11,4
1612,10,8
1625,12,8
1626,7,12
1628,9,4
1629,12,8
1636,10,1
1637,5,4
1638,5,11
1640,12,8
1645,6,8
1648,12,8
1651,10,8
1657,12,8
1661,11,4
1662,6,0
1666,6,8
1667,12,4
1669,8,12
1670,12,4
1674,11,8
1678,12,8
1681,8,8
1696,12,12
1706,8,8
1710,12,8
1720,10,12
1726,10,4
1734,10,8
1736,5,4
1737,12,12
1740,7,8
1742,12,12
1744,12,12
1747,3,4
1750,12,4
1752,12,12
1763,10,8
1771,12,0
1773,7,8
1781,10,4
1788,12,4
1789,6,8
1794,10,11
1801,10,8
1810,10,8
1817,4,8
1820,12,8
1822,8,12
1826,12,4
1835,12,12
1837,8,8
1838,8,4
1844,11,8
1848,12,12
1849,5,8
1854,12,8
1858,1,4
1862,8,12
1872,12,8
1874,11,4
1876,8,8
1877,8,12
1882,8,5
1884,12,11
1888,12,11
1897,12,7
1900,11,8
1903,12,6
1905,2,12
1922,12,8
1923,11,8
1938,12,8
1939,10,8
1940,12,12
1946,10,12
1955,10,8
1956,3,11
1959,6,4
1963,12,12
1964,8,8
1965,11,8
1967,12,12
1969,10,12
1981,11,8
1991,12,12
1995,12,8
2010,10,9
2018,11,8
2040,12,12
2045,10,8
2053,7,8
2055,10,12
2056,8,8
2079,7,10
2084,10,11
2089,6,12
2090,6,8
2092,10,8
2097,5,8
2099,10,8
2101,12,12
2102,10,12
2104,10,9
2109,12,12
2116,3,12
2119,8,8
2126,5,8
2127,12,8
2129,10,8
2130,12,12
2140,8,5
2156,12,8
2161,8,8
2181,6,4
2182,4,8
2183,8,8
2208,10,8
2209,12,12
2210,6,8
2213,8,8
2218,8,8
2221,12,8
2231,12,8
2233,4,8
2236,1,8
2238,8,4
2246,12,8
2256,5,7
2259,8,12
2269,2,11
2270,8,8
2276,12,4
2287,12,8
2293,6,6
2302,12,8
2306,12,8
2311,5,3
2316,10,8
2317,6,8
2320,2,8
2323,8,8
2328,10,11
2335,3,12
2336,4,8
2340,10,10
2342,9,12
