369
t_index	tf-idf
254	0.049994
319	0.037233
350	0.017271
358	0.016030
372	0.023717
394	0.017597
498	0.026416
508	0.048021
518	0.015350
553	0.021364
615	0.038069
621	0.020359
634	0.030982
687	0.020454
737	0.014228
868	0.013641
878	0.044784
937	0.055490
999	0.047147
1009	0.028523
1069	0.035788
1129	0.014958
1158	0.008864
1173	0.046779
1216	0.064743
1309	0.063457
1339	0.035737
1357	0.039003
1362	0.015502
1377	0.010480
1386	0.042729
1459	0.048945
1470	0.044069
1595	0.060584
1748	0.034018
1887	0.025133
1978	0.029968
1983	0.077508
2009	0.044498
2027	0.023296
2056	0.089084
2062	0.039003
2174	0.046779
2178	0.047433
2181	0.040718
2188	0.038112
2215	0.030292
2234	0.026242
2357	0.016957
2413	0.033215
2428	0.023296
2463	0.018514
2554	0.059936
2570	0.062536
2596	0.061963
2603	0.018665
2607	0.028263
2624	0.049265
2628	0.018590
2677	0.035153
2688	0.041284
2703	0.034565
2734	0.025486
2739	0.012372
2750	0.044308
2815	0.070306
2820	0.026046
2824	0.042729
2876	0.046779
2891	0.032144
2901	0.040530
3010	0.024161
3055	0.055490
3105	0.036478
3121	0.013892
3127	0.038069
3154	0.013094
3159	0.042729
3171	0.020845
3176	0.018742
3206	0.032281
3209	0.017465
3234	0.089905
3261	0.307366
3272	0.019383
3285	0.014316
3327	0.017800
3409	0.020359
3520	0.028011
3639	0.024963
3656	0.055490
3679	0.018078
3776	0.029358
3802	0.013971
3846	0.025133
3868	0.021152
3870	0.014099
3895	0.023027
3910	0.072231
3946	0.023717
3999	0.027767
4000	0.011160
4036	0.016538
4041	0.044498
4113	0.021364
4154	0.009980
4262	0.021364
4293	0.022896
4340	0.044069
4341	0.029358
4423	0.022271
4476	0.021152
4487	0.013560
4490	0.026242
4520	0.007356
4621	0.025855
4674	0.046779
4712	0.044759
4765	0.040061
4778	0.029070
4871	0.024161
4910	0.021472
4931	0.072955
5008	0.017732
5011	0.038069
5051	0.029821
5108	0.185890
5110	0.055490
5117	0.022392
5121	0.039003
5127	0.137374
5137	0.083786
5154	0.035788
5311	0.020782
5484	0.013324
5541	0.015103
5584	0.055193
5624	0.023160
5671	0.113765
5719	0.037746
5755	0.010453
5764	0.017271
5888	0.021581
5927	0.035788
5962	0.029070
6005	0.016480
6009	0.026860
6044	0.024963
6062	0.028523
6067	0.028523
6138	0.039003
6220	0.033026
6232	0.017531
6299	0.030629
6330	0.023574
6395	0.024472
6422	0.096432
6466	0.049791
6475	0.069131
6484	0.025855
6616	0.055490
6621	0.021804
6645	0.007393
6689	0.016196
6774	0.030629
6788	0.028011
6823	0.025855
6856	0.006168
6862	0.076498
6887	0.017664
6908	0.034018
6911	0.043080
6913	0.020531
6923	0.013132
6932	0.017664
7009	0.029657
7019	0.025308
7027	0.018223
7039	0.040061
7099	0.032144
7118	0.012944
7161	0.020845
7164	0.015762
7250	0.039003
7255	0.010453
7308	0.054241
7311	0.011309
7315	0.055490
7337	0.013402
7353	0.027473
7398	0.035153
7412	0.020265
7466	0.032573
7477	0.055490
7489	0.011160
7504	0.040061
7553	0.022152
7564	0.013681
7635	0.032573
7713	0.082567
7715	0.027691
7716	0.034018
7751	0.035788
7753	0.026442
7801	0.066455
7837	0.040061
7856	0.071575
7863	0.013208
7876	0.038069
7885	0.011370
7952	0.026648
7972	0.015709
8090	0.015151
8117	0.009486
8157	0.044498
8180	0.078005
8201	0.120184
8206	0.047790
8227	0.012202
8259	0.013641
8337	0.046779
8344	0.023160
8370	0.026648
8373	0.027530
8375	0.055490
8403	0.039003
8462	0.017019
8528	0.017081
8537	0.004903
8562	0.024472
8566	0.033480
8575	0.028523
8858	0.056224
8862	0.026046
8912	0.029968
8967	0.029358
8995	0.038069
9070	0.042729
9130	0.034414
9189	0.041284
9202	0.012407
9209	0.135090
9259	0.024336
9260	0.021919
9271	0.040061
9342	0.023717
9377	0.005503
9380	0.025450
9424	0.023296
9507	0.030982
9542	0.015300
9553	0.017144
9665	0.226771
9838	0.048421
9989	0.028602
10004	0.020845
10021	0.131208
10034	0.050972
10040	0.007965
10048	0.227901
10101	0.028791
10104	0.044498
10169	0.044498
10187	0.064288
10204	0.013481
10264	0.099078
10269	0.019724
10289	0.029968
10293	0.024963
10299	0.024796
10308	0.029657
10350	0.103696
10362	0.038069
10363	0.040061
10403	0.025741
10409	0.052092
10471	0.019420
10550	0.041284
10581	0.019452
10632	0.049994
10690	0.180120
10704	0.045454
10784	0.324240
10785	0.190686
10787	0.041284
10857	0.055490
10862	0.011775
11015	0.031737
11031	0.029358
11088	0.027750
11155	0.040061
11157	0.023296
11321	0.024472
11359	0.017335
11411	0.041284
11412	0.023433
11440	0.014142
11491	0.042729
11545	0.015530
11629	0.008603
11690	0.031737
11691	0.120184
11728	0.019638
11737	0.025308
11739	0.043162
11740	0.055490
11797	0.028011
11814	0.058401
11859	0.011072
11886	0.059314
11895	0.029968
11896	0.038069
11933	0.042729
11994	0.018547
11997	0.034018
12005	0.015451
12049	0.042729
12059	0.055490
12131	0.090745
12215	0.008867
12223	0.014910
12225	0.012477
12228	0.034542
12254	0.016597
12263	0.009955
12315	0.123927
12316	0.036478
12324	0.042729
12327	0.013178
12358	0.009854
12371	0.010898
12379	0.051709
12401	0.014910
12416	0.055490
12441	0.019056
12518	0.019311
12534	0.030629
12582	0.015054
12606	0.014360
12626	0.025952
12681	0.030292
12792	0.055490
12964	0.004717
12998	0.039003
13080	0.010956
13091	0.055490
13107	0.019812
13115	0.016309
13116	0.026242
13165	0.115134
13168	0.029968
13211	0.032573
13244	0.014552
13273	0.021581
13320	0.026112
13343	0.010239
13373	0.050852
13374	0.022392
13388	0.012236
13481	0.025308
13492	0.016140
13497	0.028263
13499	0.062418
13533	0.016252
13555	0.025668
13598	0.018982
13690	0.030012
13701	0.039624
13745	0.046779
