59
t_index	tf-idf
418	0.164134
503	0.049473
531	0.145904
572	0.096748
681	0.164134
807	0.189195
849	0.074339
1051	0.103599
1144	0.193496
1792	0.070713
1912	0.094706
2117	0.150546
2180	0.122419
2217	0.166523
2429	0.083669
2560	0.037760
3869	0.205173
3881	0.049600
3888	0.184028
4198	0.136820
4214	0.067392
4247	0.036559
4329	0.122419
4855	0.082777
5224	0.148937
5315	0.019593
5368	0.130416
6100	0.117158
6283	0.143088
6330	0.181288
6419	0.058679
6521	0.139209
6644	0.071368
6851	0.064330
7175	0.130416
7534	0.078071
7799	0.072393
8308	0.055464
8884	0.167339
10496	0.357982
10544	0.141753
10582	0.140460
10606	0.122296
10740	0.169066
10768	0.105124
10799	0.193837
11200	0.181288
11213	0.115101
11424	0.072258
11520	0.130416
11893	0.131414
11990	0.062006
12167	0.074102
12842	0.134568
13011	0.008036
13179	0.076036
13255	0.080216
13262	0.077552
13452	0.145904
