76
t_index	tf-idf
322	0.064628
350	0.138591
366	0.090064
667	0.094498
1689	0.148428
1904	0.063827
2112	0.087127
2399	0.407312
2700	0.045032
2833	0.021841
2863	0.111439
3210	0.041740
3359	0.051405
3601	0.204512
3605	0.052298
3802	0.037371
3857	0.080160
4154	0.026695
4174	0.180779
4231	0.148428
4244	0.047249
4314	0.049127
4964	0.049724
5311	0.015883
5584	0.042181
5764	0.046197
6125	0.121191
6150	0.076293
6181	0.056860
6366	0.126112
6851	0.147278
6867	0.061593
6897	0.173178
6983	0.056860
7522	0.050972
7700	0.028847
7863	0.035329
7927	0.223033
7972	0.210094
8206	0.042610
8216	0.024434
8435	0.183727
8759	0.133727
8999	0.250256
9232	0.240897
9436	0.050972
9454	0.074272
9484	0.097572
9521	0.067228
10040	0.042610
10042	0.058324
10422	0.045524
10423	0.082929
10471	0.017315
10581	0.039022
10717	0.109936
10788	0.058324
11416	0.059572
11503	0.065888
11728	0.052527
12069	0.081026
12153	0.080160
12155	0.085981
12215	0.023718
12371	0.029151
12407	0.107158
12414	0.060224
12518	0.025827
12520	0.054968
12833	0.119791
12964	0.012618
12981	0.148428
12982	0.296855
13199	0.124624
13244	0.012975
13622	0.068658
