161
t_index	tf-idf
28	0.050784
121	0.058363
221	0.057502
408	0.018000
572	0.053181
671	0.045827
687	0.037938
693	0.099948
730	0.037264
765	0.136576
782	0.049386
816	0.094693
841	0.063269
881	0.024216
1072	0.022306
1154	0.048073
1276	0.055877
1652	0.062905
1752	0.063640
1912	0.052058
2036	0.080201
2050	0.070121
2268	0.165505
2298	0.054365
2329	0.071688
2332	0.050991
2369	0.044864
2386	0.068661
2485	0.088984
2488	0.189426
2560	0.083025
2590	0.062195
2602	0.060841
2660	0.045664
2665	0.057222
2750	0.171290
2803	0.077919
2895	0.035770
2919	0.039968
3360	0.074580
3497	0.058923
3529	0.039109
3678	0.097766
3692	0.049974
3726	0.030487
3897	0.064016
4009	0.151709
4082	0.039351
4124	0.048440
4214	0.037044
4269	0.038870
4407	0.023796
4462	0.066852
4466	0.065755
4556	0.088984
4585	0.176868
4755	0.029308
4781	0.048813
4832	0.036611
4855	0.045501
4996	0.091535
5016	0.136389
5073	0.050174
5135	0.073970
5409	0.045180
5479	0.179634
5485	0.030895
5666	0.052725
5705	0.047181
5914	0.058956
5992	0.029616
6085	0.109441
6236	0.081019
6280	0.097766
6317	0.121563
6338	0.084637
6676	0.060841
6752	0.069137
6760	0.024892
6829	0.103681
6901	0.045827
7074	0.073223
7282	0.040220
7309	0.035060
7496	0.053647
7653	0.134593
7767	0.171290
7799	0.019897
7911	0.123697
7914	0.116729
7946	0.171290
7951	0.075208
8180	0.062547
8210	0.017154
8233	0.106549
8280	0.013394
8299	0.024892
8353	0.068661
8587	0.067739
8597	0.032878
8618	0.056139
8642	0.064790
8674	0.098772
8701	0.087813
8703	0.099651
8803	0.062547
8870	0.032255
8938	0.106694
9170	0.044245
9206	0.082752
9260	0.062547
9391	0.057785
9525	0.094427
9622	0.112780
9650	0.092315
9821	0.021759
9855	0.092933
9909	0.033334
10033	0.064790
10093	0.132010
10346	0.079708
10450	0.088187
10497	0.053647
10612	0.046158
10691	0.112780
10880	0.043203
11153	0.047891
11226	0.079414
11432	0.056946
11465	0.039596
11584	0.046325
11650	0.150416
11652	0.062547
11763	0.025333
11902	0.049580
11932	0.158855
11959	0.057785
11980	0.036335
12105	0.064790
12124	0.026919
12128	0.051625
12167	0.040733
12260	0.059566
12284	0.052755
12372	0.039230
12382	0.063269
12392	0.028359
12458	0.116729
12731	0.012887
12745	0.027474
12791	0.085645
12848	0.029929
13011	0.030919
13027	0.109441
13079	0.183070
13124	0.058072
13138	0.039473
13140	0.046306
13336	0.053701
13432	0.081868
13449	0.060515
