305
t_index	tf-idf
28	0.052269
121	0.030035
175	0.080954
202	0.072172
209	0.099714
228	0.078012
237	0.151057
345	0.032007
399	0.024834
407	0.063492
411	0.028756
437	0.023927
458	0.020003
460	0.040099
503	0.013995
507	0.156025
588	0.027250
646	0.079526
671	0.023584
687	0.019524
694	0.020126
728	0.047826
762	0.049421
816	0.032488
829	0.035830
899	0.037175
961	0.061955
1058	0.025175
1082	0.065766
1172	0.039037
1197	0.067094
1250	0.115143
1320	0.019642
1357	0.065766
1373	0.033756
1402	0.052345
1525	0.025024
1575	0.042132
1603	0.028490
1718	0.037464
1739	0.047826
1858	0.057511
1872	0.045856
1876	0.078012
1878	0.028622
1882	0.033968
1886	0.033142
1991	0.019177
1995	0.030815
2070	0.036085
2078	0.033968
2147	0.054833
2154	0.016376
2305	0.050632
2357	0.026135
2468	0.017394
2475	0.035095
2503	0.053520
2547	0.036617
2560	0.010682
2580	0.098552
2626	0.045793
2683	0.060072
2757	0.056321
2864	0.029295
2895	0.018408
2903	0.035095
2907	0.029027
2971	0.086122
2978	0.092861
2984	0.038067
3074	0.017540
3097	0.098252
3099	0.054036
3206	0.029738
3297	0.041694
3347	0.075523
3497	0.015162
3529	0.040253
3540	0.230545
3596	0.029738
3598	0.059463
3676	0.033343
3726	0.015690
3802	0.039734
3810	0.056207
3892	0.027608
3898	0.029592
3937	0.041274
3974	0.044075
3975	0.035334
3977	0.024834
4049	0.043061
4061	0.047106
4076	0.018250
4142	0.048595
4143	0.024834
4150	0.031310
4171	0.062559
4205	0.027487
4217	0.036892
4218	0.031829
4219	0.018198
4247	0.010342
4269	0.020003
4310	0.043061
4387	0.130240
4407	0.012246
4554	0.036188
4625	0.034630
4755	0.030165
4777	0.040477
4781	0.025121
4963	0.052483
4986	0.029166
5009	0.074349
5042	0.016459
5073	0.025821
5166	0.078012
5214	0.078012
5233	0.030340
5279	0.055838
5345	0.036617
5385	0.100872
5419	0.069266
5426	0.043061
5436	0.053520
5454	0.017689
5479	0.030815
5485	0.015900
5491	0.044086
5607	0.073939
5620	0.058040
5705	0.048561
5744	0.037761
5787	0.029391
5812	0.154887
5813	0.069260
5873	0.027487
5955	0.053974
6204	0.024928
6341	0.062559
6351	0.062559
6403	0.070286
6419	0.132794
6422	0.022770
6577	0.025316
6582	0.058896
6634	0.042587
6658	0.019234
6784	0.028756
6800	0.056321
6823	0.043556
6829	0.053357
6851	0.018198
6865	0.053520
6867	0.031653
6901	0.047168
7077	0.028103
7092	0.012874
7149	0.028490
7194	0.125922
7210	0.029738
7223	0.044619
7225	0.015690
7263	0.030815
7272	0.055216
7282	0.020698
7400	0.056321
7409	0.020569
7438	0.015162
7483	0.082793
7496	0.027608
7534	0.022085
7553	0.060072
7601	0.018569
7689	0.074928
7698	0.018355
7779	0.048205
7853	0.013336
7862	0.034860
7902	0.257714
7943	0.022395
7954	0.025684
7965	0.034309
7997	0.057532
8138	0.022537
8210	0.017655
8214	0.032007
8280	0.020679
8297	0.048595
8308	0.015690
8313	0.042740
8488	0.041274
8550	0.048595
8556	0.054833
8617	0.156025
8633	0.052345
8714	0.063866
8716	0.056321
8864	0.036188
8872	0.024191
8879	0.040477
9050	0.013609
9116	0.023927
9146	0.039734
9158	0.024928
9175	0.065501
9227	0.041694
9277	0.134519
9321	0.043556
9353	0.055955
9550	0.104691
9650	0.023754
9717	0.021938
9760	0.126613
9776	0.033547
9785	0.029306
9821	0.022395
9828	0.062961
9836	0.033142
9841	0.075654
9849	0.026791
9877	0.032944
9965	0.056321
10000	0.032751
10045	0.030496
10140	0.032007
10344	0.026904
10346	0.020510
10349	0.045191
10372	0.027730
10387	0.067094
10456	0.052345
10489	0.045191
10495	0.078095
10497	0.055216
10606	0.017298
10627	0.033108
10666	0.041274
10697	0.043556
10716	0.156025
10748	0.033756
10754	0.055216
10758	0.065766
10852	0.013004
10865	0.078012
10977	0.018515
11096	0.027368
11122	0.027487
11153	0.024646
11177	0.032944
11207	0.081737
11264	0.093428
11311	0.021833
11365	0.023333
11395	0.024189
11504	0.071159
11506	0.030340
11656	0.055216
11662	0.022770
11763	0.013037
11774	0.043443
11814	0.065766
11833	0.024739
11896	0.037175
11902	0.102061
11980	0.012466
11993	0.024281
12019	0.023333
12021	0.065165
12043	0.078012
12092	0.009263
12137	0.015321
12141	0.029448
12145	0.036349
12210	0.025515
12222	0.035579
12278	0.043061
12284	0.013574
12392	0.007297
12721	0.070286
12728	0.050313
12779	0.049421
12810	0.043061
12822	0.035334
12848	0.030804
12881	0.078724
12942	0.157036
12967	0.098252
13011	0.011366
13073	0.070286
13075	0.025718
13088	0.036710
13097	0.025316
13105	0.156025
13155	0.018146
13185	0.050048
13295	0.026458
13336	0.027636
13339	0.045697
13346	0.066942
13358	0.064745
13362	0.008649
13427	0.078012
