162
t_index	tf-idf
65	0.091918
386	0.030515
455	0.045589
518	0.056443
684	0.012114
951	0.030842
1009	0.052441
1022	0.068456
1129	0.027501
1228	0.111388
1474	0.043872
1552	0.073656
1619	0.021243
1776	0.043342
1812	0.075903
1983	0.028501
2077	0.027327
2307	0.050616
2337	0.051500
2564	0.048995
2568	0.062545
2584	0.038890
2607	0.051963
2628	0.034178
2655	0.032601
2700	0.030953
2706	0.064632
2766	0.058352
2771	0.038700
2833	0.015012
2837	0.047193
2888	0.068456
2937	0.038512
3181	0.035036
3206	0.029676
3235	0.050616
3252	0.039083
3409	0.037431
3517	0.071709
3636	0.048567
3801	0.026321
3805	0.071709
3816	0.053977
3838	0.037606
3851	0.102023
3910	0.037944
3921	0.057640
3956	0.103926
4000	0.020519
4059	0.086008
4138	0.573673
4144	0.088845
4154	0.018349
4235	0.077294
4272	0.063551
4349	0.023867
4491	0.041625
4604	0.045289
4690	0.101825
4793	0.033108
4805	0.091918
4826	0.023663
4827	0.038143
5026	0.019725
5080	0.015936
5326	0.051051
5378	0.028786
5764	0.063508
5963	0.053447
6008	0.051963
6219	0.023529
6232	0.032232
6491	0.049384
6720	0.045896
6728	0.172294
6856	0.022681
6913	0.018874
7018	0.113884
7051	0.037606
7080	0.023731
7115	0.054527
7229	0.086008
7338	0.036753
7546	0.081206
7719	0.214362
7745	0.081206
7863	0.048567
7865	0.033500
7885	0.020904
8121	0.045896
8198	0.062545
8216	0.016795
8227	0.044868
8463	0.016055
8464	0.023089
8479	0.047193
8556	0.016753
8577	0.077529
8907	0.258023
8998	0.062545
9142	0.030953
9303	0.017797
9377	0.010118
9478	0.034459
9525	0.052441
9529	0.061605
9926	0.033108
9934	0.041395
10004	0.038326
10044	0.069992
10073	0.051963
10074	0.062545
10086	0.026732
10099	0.063551
10272	0.081814
10409	0.047887
10471	0.017852
10500	0.078561
10523	0.222112
10643	0.078561
10718	0.028314
10727	0.036419
10805	0.045896
10810	0.045289
10812	0.259618
10813	0.039678
10847	0.031065
11115	0.037783
11152	0.059888
11194	0.031521
11503	0.045289
11522	0.031754
11538	0.056076
11568	0.029175
11702	0.051051
11798	0.040089
11994	0.034099
12093	0.054308
12214	0.050616
12215	0.016303
12225	0.022939
12291	0.055694
12371	0.020037
12526	0.052441
12547	0.040728
12822	0.102023
12827	0.042581
12941	0.046858
13171	0.071709
13208	0.035184
13222	0.052320
13244	0.005945
13284	0.019776
13285	0.025456
13373	0.015583
13374	0.041169
13573	0.018071
13594	0.042336
13598	0.011633
13674	0.023623
13723	0.039083
13724	0.093532
