217
t_index	tf-idf
28	0.030751
43	0.039967
72	0.043085
105	0.058218
237	0.025391
259	0.040747
401	0.029220
402	0.043740
411	0.067669
521	0.053881
525	0.018708
646	0.046786
694	0.023681
739	0.091791
788	0.056273
881	0.014663
961	0.036449
1032	0.034990
1047	0.077382
1058	0.044432
1062	0.029557
1072	0.040520
1076	0.051116
1187	0.064517
1197	0.078945
1276	0.033834
1479	0.053172
1525	0.058888
1548	0.058150
1553	0.062973
1603	0.100566
1688	0.014481
1708	0.040747
1741	0.025308
1802	0.024586
1836	0.027749
1905	0.033677
2070	0.021229
2077	0.037874
2136	0.064517
2154	0.019268
2220	0.446156
2222	0.091791
2247	0.066737
2264	0.073609
2278	0.037316
2292	0.061591
2468	0.020466
2475	0.041293
2479	0.024431
2562	0.042460
2580	0.115959
2638	0.082034
2669	0.043740
2682	0.077382
2737	0.082700
2754	0.029788
2809	0.051455
2864	0.011490
2882	0.024902
3074	0.041277
3097	0.038535
3099	0.031790
3184	0.031260
3206	0.034990
3267	0.082700
3347	0.044431
3497	0.017840
3540	0.060281
3567	0.035518
3574	0.041575
3598	0.023322
3626	0.145795
3725	0.045932
3726	0.073843
3843	0.183582
3852	0.037450
3881	0.066036
3888	0.030626
3950	0.035883
3968	0.023181
4076	0.021473
4191	0.081493
4219	0.042824
4319	0.044790
4329	0.040747
4345	0.056273
4419	0.022903
4503	0.044431
4809	0.028675
4859	0.015072
4917	0.047626
4990	0.050666
5042	0.014525
5073	0.030381
5095	0.102499
5156	0.055426
5183	0.091791
5279	0.032850
5361	0.053881
5385	0.059344
5419	0.097799
5426	0.050666
5708	0.047626
5787	0.017291
5789	0.116299
5835	0.096173
5855	0.053172
5955	0.021169
5990	0.045540
6102	0.042768
6186	0.062262
6189	0.082700
6378	0.012229
6515	0.041575
6556	0.042768
6577	0.029788
6582	0.034649
6589	0.010203
6813	0.149456
6900	0.026073
7018	0.066269
7044	0.022431
7047	0.037416
7092	0.030297
7112	0.091791
7282	0.024354
7412	0.070682
7448	0.073609
7453	0.022903
7603	0.030140
7690	0.177724
7691	0.068291
7799	0.024096
7839	0.048086
7889	0.029557
8082	0.034649
8210	0.010387
8272	0.028256
8280	0.008111
8299	0.015072
8353	0.041575
8422	0.048101
8587	0.041017
8714	0.021470
8718	0.127160
8813	0.038090
8864	0.021290
8876	0.073609
9116	0.028153
9128	0.009103
9151	0.046752
9207	0.031391
9212	0.137795
9236	0.041575
9353	0.164595
9515	0.042460
9613	0.051250
9646	0.033834
9651	0.041017
9704	0.066269
9919	0.082700
9956	0.054631
10024	0.113621
10047	0.091791
10102	0.045932
10118	0.055426
10234	0.010708
10265	0.247760
10266	0.200433
10281	0.075321
10333	0.022972
10472	0.082700
10564	0.053955
10606	0.020353
10627	0.038956
10641	0.066269
10852	0.030602
10880	0.026160
10924	0.073609
10966	0.044081
10977	0.021785
11122	0.097027
11222	0.064517
11311	0.034252
11395	0.014231
11431	0.036643
11506	0.035699
11560	0.060341
11636	0.030751
11656	0.032484
11881	0.034819
11980	0.007334
11995	0.070682
12021	0.025558
12065	0.021109
12222	0.041864
12223	0.050108
12255	0.036257
12284	0.015972
12319	0.037244
12352	0.066269
12598	0.056219
12745	0.016636
12788	0.073609
12910	0.045540
13011	0.005349
13051	0.017793
13052	0.045807
13107	0.038763
13155	0.021351
13276	0.055426
13304	0.042158
13336	0.016258
13339	0.080652
13434	0.010627
13450	0.024822
