239
t_index	tf-idf
72	0.037772
79	0.023247
87	0.024415
107	0.024069
114	0.129189
192	0.321887
336	0.036201
349	0.055207
390	0.029254
394	0.048481
407	0.021831
408	0.009555
438	0.026829
503	0.028873
525	0.016401
572	0.028231
586	0.019959
588	0.056219
730	0.019782
782	0.026216
829	0.036960
849	0.021692
1058	0.025968
1076	0.022406
1078	0.045562
1085	0.022480
1144	0.028231
1184	0.030675
1301	0.052900
1354	0.070077
1482	0.032832
1525	0.077439
1626	0.028731
1629	0.034605
1719	0.073402
1802	0.043109
1823	0.049333
1886	0.102560
1918	0.046654
1935	0.059877
1956	0.056561
2022	0.047237
2082	0.049183
2116	0.040986
2139	0.048169
2154	0.016892
2251	0.040621
2290	0.029801
2329	0.038055
2330	0.045465
2429	0.024415
2432	0.050127
2488	0.050279
2534	0.061966
2591	0.060418
2736	0.055207
2825	0.080472
2864	0.010073
2888	0.080472
3013	0.028109
3026	0.041522
3078	0.028860
3333	0.105786
3363	0.026529
3370	0.036201
3522	0.047237
3527	0.058097
3585	0.130379
3726	0.048553
3842	0.039924
3881	0.028946
3888	0.026850
3895	0.046026
3930	0.036201
3931	0.038055
3955	0.043009
3968	0.020322
4143	0.025616
4150	0.032297
4419	0.020079
4441	0.016227
4462	0.017744
4556	0.047237
4578	0.193595
4594	0.038952
4717	0.018350
4754	0.045465
4755	0.046674
4809	0.012569
4832	0.019435
4855	0.024154
4963	0.027069
5006	0.037772
5042	0.059424
5108	0.090820
5215	0.019322
5233	0.125187
5239	0.029662
5272	0.021902
5315	0.068607
5328	0.023900
5341	0.043009
5598	0.040986
5683	0.043929
5806	0.086018
5861	0.021902
5873	0.028354
5886	0.041363
5938	0.040267
5992	0.015722
6046	0.044087
6090	0.034394
6186	0.054584
6248	0.043929
6249	0.051899
6383	0.025913
6419	0.085613
6589	0.017890
6620	0.025616
6630	0.031297
6668	0.100253
6676	0.064595
6760	0.026428
6761	0.067839
6876	0.018506
6901	0.024327
6991	0.015159
6992	0.037494
7223	0.046026
7225	0.032369
7316	0.038952
7341	0.030085
7409	0.106085
7438	0.015640
7484	0.039591
7631	0.046615
7664	0.120920
7709	0.068343
7799	0.031686
7865	0.026635
7915	0.038645
7921	0.161987
7939	0.023407
7943	0.011551
7981	0.053996
8138	0.023247
8208	0.024681
8209	0.025328
8272	0.049543
8280	0.028442
8308	0.016184
8327	0.038347
8339	0.061966
8422	0.021085
8581	0.085812
8602	0.081973
8625	0.023651
8870	0.034245
8889	0.048591
8974	0.424465
9002	0.105878
9050	0.014038
9087	0.093231
9128	0.039903
9131	0.018454
9170	0.046975
9207	0.055039
9224	0.035262
9259	0.040267
9266	0.029121
9275	0.036448
9321	0.089859
9333	0.046026
9341	0.157288
9507	0.076693
9528	0.034605
9583	0.047894
9599	0.027520
9753	0.022630
9799	0.080472
9947	0.072502
10166	0.037329
10187	0.074043
10189	0.179843
10234	0.023469
10346	0.028209
10463	0.064532
10482	0.089404
10483	0.022333
10492	0.043089
10565	0.168656
10600	0.038757
10627	0.017076
10775	0.040645
10848	0.072897
10852	0.013414
11084	0.026216
11108	0.069639
11170	0.040986
11181	0.032297
11204	0.045465
11226	0.042157
11305	0.022115
11311	0.037535
11395	0.012476
11495	0.056957
11577	0.028109
11627	0.016056
11764	0.024681
11949	0.025714
11980	0.025718
11988	0.064869
12019	0.024069
12092	0.038220
12124	0.042870
12134	0.072502
12169	0.058097
12180	0.065302
12282	0.098667
12284	0.056009
12286	0.089404
12575	0.067839
12598	0.024643
12708	0.056561
12713	0.038055
12848	0.095327
12962	0.090690
13011	0.021103
13110	0.029698
13150	0.035722
13155	0.018718
13184	0.049908
13227	0.031954
13246	0.025046
13346	0.034526
13362	0.017844
13432	0.043460
13434	0.009317
13450	0.021761
