224
t_index	tf-idf
175	0.113135
288	0.055742
361	0.038939
366	0.038098
384	0.039822
386	0.037558
400	0.048346
403	0.100584
415	0.057674
418	0.040435
445	0.046286
476	0.050672
524	0.033422
576	0.056490
684	0.014910
737	0.032198
850	0.088106
898	0.049088
899	0.115347
925	0.128009
967	0.031426
1060	0.045751
1270	0.061780
1377	0.023716
1410	0.271267
1480	0.090883
1542	0.058941
1619	0.156882
1801	0.040280
1962	0.019811
2077	0.033634
2111	0.037962
2120	0.201397
2266	0.030869
2366	0.117881
2387	0.053346
2413	0.075165
2497	0.053346
2511	0.047678
2576	0.081500
2669	0.059838
2739	0.027998
2750	0.033422
2753	0.075824
2833	0.018477
2932	0.075652
3143	0.075824
3178	0.033108
3203	0.093423
3209	0.039523
3210	0.070625
3285	0.032396
3327	0.040280
3333	0.028234
3347	0.042764
3496	0.048105
3597	0.058508
3630	0.082793
3636	0.029889
3658	0.055380
3822	0.038654
3914	0.058508
3959	0.040280
4000	0.025255
4054	0.057674
4254	0.057267
4308	0.032496
4312	0.057270
4326	0.040435
4476	0.047867
4492	0.029292
4613	0.122548
4654	0.029125
4662	0.058086
4678	0.019712
4853	0.059384
4892	0.045237
4988	0.028634
5026	0.024278
5238	0.031238
5283	0.044245
5311	0.020156
5402	0.036276
5410	0.043123
5541	0.034177
5548	0.022470
5573	0.076982
5595	0.074589
5662	0.113135
5676	0.074852
5854	0.047633
5859	0.047633
6005	0.037294
6044	0.056490
6049	0.023655
6089	0.061780
6109	0.125572
6156	0.064545
6202	0.062835
6256	0.024533
6645	0.050189
6686	0.026719
6786	0.090883
6913	0.023231
6983	0.048105
7035	0.060783
7164	0.035668
7165	0.037962
7256	0.058508
7462	0.062835
7525	0.078220
7536	0.044439
7546	0.033317
7580	0.060783
7653	0.067817
7700	0.073215
7753	0.059838
7885	0.025730
7961	0.029545
8090	0.034287
8117	0.042933
8128	0.041562
8132	0.055997
8142	0.050672
8147	0.064993
8165	0.088892
8199	0.051812
8437	0.056876
8464	0.028419
8571	0.068796
8585	0.059838
8607	0.040435
8623	0.046071
8763	0.063387
8861	0.063957
8884	0.036906
8964	0.116172
8972	0.029372
8998	0.076982
9005	0.050398
9010	0.052109
9153	0.049863
9162	0.072741
9185	0.032100
9242	0.066634
9259	0.027536
9303	0.087622
9377	0.012453
9381	0.039672
9521	0.056876
9559	0.168515
9863	0.056112
9872	0.048105
9920	0.118125
9974	0.201397
10010	0.074737
10048	0.039672
10056	0.047633
10086	0.065804
10096	0.106058
10144	0.055025
10226	0.053029
10471	0.102541
10474	0.026792
10528	0.068549
10565	0.076982
10568	0.031426
10569	0.045034
10581	0.011005
10672	0.043675
10718	0.069699
10727	0.044825
10730	0.031426
10799	0.036906
10842	0.096694
10959	0.186872
11088	0.020932
11213	0.029802
11363	0.050129
11365	0.093423
11538	0.034510
11545	0.035143
11599	0.037558
11658	0.065804
11680	0.113135
11786	0.074737
11816	0.038374
11835	0.060833
11894	0.036651
11968	0.046504
11995	0.038514
12040	0.050129
12149	0.127763
12150	0.030239
12213	0.102466
12215	0.060197
12225	0.028234
12251	0.105860
12260	0.042239
12301	0.028878
12340	0.053670
12397	0.029125
12453	0.112980
12626	0.023492
12831	0.038454
12964	0.053374
12970	0.022759
12977	0.027460
13080	0.024792
13083	0.068549
13094	0.053346
13244	0.018295
13259	0.043123
13262	0.063957
13314	0.095265
13330	0.081500
13373	0.019179
13441	0.030417
13492	0.036525
13533	0.036778
13573	0.022242
13598	0.014318
13674	0.014538
13681	0.108939
