170
t_index	tf-idf
9	0.045945
28	0.034674
108	0.036310
211	0.038151
399	0.065895
503	0.018568
525	0.021094
583	0.060755
586	0.025671
589	0.025443
646	0.052755
782	0.033719
849	0.055800
904	0.064472
1002	0.027900
1072	0.015230
1100	0.039095
1184	0.039454
1256	0.103501
1257	0.103501
1506	0.086397
1527	0.063452
1752	0.130354
1753	0.035846
1773	0.186501
1823	0.063452
1918	0.060005
2152	0.103501
2154	0.021726
2171	0.054759
2208	0.077003
2267	0.131136
2268	0.339005
2298	0.037119
2332	0.034815
2355	0.059197
2488	0.097001
2489	0.103501
2665	0.039070
2675	0.032576
2750	0.116951
2795	0.107404
2864	0.025911
3042	0.093759
3078	0.037119
3225	0.050099
3311	0.082999
3363	0.034121
3370	0.093123
3482	0.103501
3511	0.079699
3726	0.020816
3739	0.095073
3835	0.075597
3873	0.149446
3940	0.057130
4124	0.033073
4138	0.030632
4209	0.042950
4247	0.013721
4369	0.047204
4381	0.024006
4411	0.068039
4462	0.045645
4466	0.022448
4535	0.159398
4625	0.045945
4656	0.246403
4737	0.033073
4809	0.032333
4855	0.031067
4916	0.035846
5034	0.051791
5063	0.253807
5243	0.096449
5279	0.018520
5309	0.077003
5315	0.036767
5322	0.087254
5454	0.046936
5479	0.081766
5664	0.052716
5873	0.036468
5900	0.032214
5946	0.034533
6090	0.044237
6137	0.068039
6383	0.066657
6410	0.044508
6419	0.022023
6620	0.065895
6644	0.026785
6646	0.038296
6653	0.043198
6746	0.031289
6813	0.024075
6821	0.045646
6829	0.035395
6867	0.041995
6876	0.047604
6882	0.057130
7111	0.072748
7198	0.051791
7300	0.051037
7418	0.173363
7432	0.031629
7534	0.029301
7591	0.033986
7692	0.103501
7716	0.043570
7799	0.013585
7884	0.026785
7943	0.014856
8210	0.046848
8280	0.027436
8332	0.103501
8587	0.092500
8750	0.033986
8772	0.110634
8821	0.046561
8938	0.097130
9588	0.043451
9652	0.071006
9770	0.017783
9821	0.029713
10009	0.228521
10166	0.024006
10234	0.006037
10346	0.027211
10450	0.030106
10612	0.094545
10852	0.017253
10880	0.029498
10977	0.024564
11226	0.162663
11306	0.093250
11325	0.032576
11395	0.048139
11432	0.038881
11520	0.048946
11584	0.031629
11647	0.045066
11680	0.074723
11764	0.031744
11774	0.028819
11833	0.032823
11864	0.027548
11932	0.072308
11949	0.033073
11980	0.033078
12028	0.037135
12124	0.018379
12160	0.069630
12228	0.131136
12392	0.038725
12745	0.018759
12791	0.116951
12822	0.046879
12848	0.020435
12988	0.159398
13011	0.021111
13051	0.020063
13110	0.019099
13124	0.039650
13140	0.015808
13179	0.028537
13325	0.064472
13371	0.103501
13434	0.011983
13449	0.082636
