84
t_index	tf-idf
209	0.074918
408	0.055677
508	0.174429
646	0.059751
762	0.148526
849	0.063199
1058	0.037829
1082	0.197650
1136	0.234454
1276	0.086420
1452	0.078864
1575	0.126620
1673	0.180537
2007	0.164791
2009	0.234454
2290	0.086826
2365	0.112593
2560	0.032102
2580	0.032909
3150	0.104076
3206	0.089372
3333	0.102735
3540	0.076985
3676	0.100206
3738	0.121647
3852	0.095656
3926	0.113486
4368	0.107681
4387	0.195708
4438	0.082251
4554	0.054379
4781	0.075496
5009	0.111722
5099	0.151208
5118	0.113486
5279	0.041953
5315	0.033314
5683	0.127987
5812	0.093098
5813	0.104076
6200	0.070124
6378	0.031236
6674	0.113486
6720	0.082251
6991	0.044165
7074	0.056624
7274	0.137625
7483	0.062205
7601	0.055805
7709	0.066372
7853	0.040080
7954	0.038595
8142	0.164791
8280	0.020716
8714	0.054840
8750	0.153970
9116	0.071908
9158	0.074918
9353	0.084082
9580	0.062998
9747	0.089816
9760	0.095129
9821	0.033653
9841	0.075789
10234	0.013675
10346	0.020546
10706	0.130902
10720	0.134095
10724	0.058151
11158	0.076682
11419	0.137625
11867	0.077600
11980	0.018732
12028	0.042060
12201	0.106928
12210	0.076682
12229	0.103399
12255	0.185218
12779	0.297053
12967	0.098427
12986	0.122823
13110	0.043263
13185	0.075206
13194	0.124041
