337
t_index	tf-idf
28	0.024485
202	0.033808
237	0.040435
337	0.073088
369	0.134076
408	0.008678
411	0.053881
416	0.025752
448	0.032026
466	0.047137
503	0.013112
525	0.029792
571	0.030683
572	0.051281
588	0.025530
589	0.035933
646	0.018626
671	0.044190
676	0.021783
687	0.036583
782	0.023811
816	0.015218
841	0.030505
845	0.039062
849	0.039403
881	0.011675
998	0.042903
1072	0.021509
1104	0.074451
1193	0.029022
1220	0.163127
1234	0.030865
1264	0.050141
1276	0.053881
1318	0.108751
1320	0.055205
1494	0.045162
1523	0.058668
1575	0.078944
1603	0.160150
1660	0.073088
1667	0.073088
1671	0.056280
1684	0.054376
1688	0.011531
1741	0.060454
1753	0.025312
1762	0.026815
1796	0.056280
1868	0.051371
1935	0.018128
1971	0.061614
1995	0.028870
2058	0.042338
2070	0.016904
2244	0.080685
2247	0.026569
2273	0.056280
2274	0.049041
2278	0.044569
2301	0.035664
2305	0.023718
2468	0.016296
2517	0.065849
2560	0.020015
2566	0.027456
2602	0.029334
2809	0.040970
2821	0.048046
2852	0.038668
2854	0.031429
2863	0.041293
2882	0.059484
2895	0.017246
2903	0.032879
3057	0.036261
3065	0.034828
3074	0.032866
3081	0.045527
3082	0.073088
3097	0.030683
3141	0.018182
3188	0.073145
3190	0.073088
3192	0.096091
3333	0.032026
3341	0.184469
3405	0.037922
3483	0.041293
3491	0.047137
3530	0.018402
3537	0.075844
3540	0.023999
3541	0.073088
3626	0.058044
3726	0.014699
3774	0.029655
3780	0.033568
3810	0.026329
3872	0.039898
3933	0.094274
3966	0.056280
3968	0.018458
4035	0.018973
4053	0.047070
4076	0.017098
4111	0.055721
4144	0.030156
4186	0.056280
4187	0.065849
4209	0.030329
4214	0.017861
4219	0.068196
4258	0.049041
4345	0.044807
4346	0.073088
4381	0.016952
4387	0.091514
4427	0.050141
4462	0.064464
4503	0.035378
4747	0.040343
4777	0.037922
4813	0.071328
4832	0.017652
4836	0.056280
4908	0.040807
4987	0.065849
4990	0.040343
5035	0.197547
5042	0.003855
5125	0.058610
5135	0.071328
5243	0.034054
5245	0.131698
5274	0.078125
5279	0.026156
5315	0.041541
5361	0.042903
5433	0.073088
5454	0.049716
5469	0.026329
5485	0.029792
5491	0.137678
5607	0.023090
5611	0.048046
5653	0.061614
5764	0.061614
5875	0.020151
5876	0.029820
5955	0.016856
6038	0.036261
6259	0.065849
6264	0.034306
6329	0.022174
6374	0.054376
6396	0.048046
6504	0.073145
6512	0.061614
6556	0.136216
6599	0.018128
6607	0.054376
6634	0.079796
6656	0.017296
6665	0.023266
6674	0.035378
6746	0.022095
6755	0.073088
6760	0.012001
6778	0.020350
6807	0.040172
6813	0.017000
6821	0.032233
6831	0.032444
6851	0.017049
6876	0.016808
6900	0.041520
6901	0.022095
6915	0.064888
6942	0.041802
7016	0.073088
7018	0.052766
7044	0.017861
7050	0.044133
7074	0.035303
7088	0.047137
7092	0.036185
7225	0.029398
7274	0.042903
7357	0.117220
7395	0.051371
7432	0.022335
7453	0.018236
7560	0.039062
7603	0.023999
7645	0.051371
7675	0.059310
7688	0.048046
7698	0.017196
7700	0.123229
7719	0.040343
7722	0.058610
7756	0.043499
7799	0.019186
7826	0.019956
7850	0.073088
7853	0.012494
7887	0.058668
7889	0.047070
7899	0.054376
7912	0.026940
7913	0.094288
7930	0.058610
7965	0.032143
7980	0.061614
7991	0.219263
7997	0.017967
8099	0.028719
8210	0.024811
8251	0.073088
8280	0.019374
8299	0.036004
8304	0.032233
8376	0.040807
8422	0.076601
8494	0.041802
8513	0.040343
8556	0.051371
8582	0.030329
8600	0.096091
8714	0.025643
8787	0.051371
8807	0.079796
8821	0.032879
8841	0.058610
8902	0.065849
9002	0.016027
9128	0.014497
9225	0.035958
9306	0.067742
9353	0.078634
9482	0.026449
9580	0.019639
9586	0.100000
9645	0.105532
9678	0.038668
9747	0.027999
9770	0.025115
9788	0.050141
9821	0.020982
9841	0.023626
9842	0.032444
9849	0.050199
9909	0.016071
9957	0.042338
10000	0.030683
10045	0.028571
10098	0.054376
10102	0.036573
10140	0.029987
10162	0.051371
10166	0.016952
10234	0.025578
10265	0.098638
10266	0.079796
10268	0.092602
10281	0.029987
10333	0.054874
10370	0.046301
10450	0.042518
10495	0.018291
10554	0.028719
10589	0.051371
10627	0.031018
10637	0.056280
10666	0.038668
10712	0.058610
10740	0.044807
10775	0.036915
10818	0.022016
10852	0.012183
10880	0.041660
10938	0.035664
10986	0.061614
10989	0.035664
11018	0.061614
11020	0.046301
11059	0.025312
11094	0.061614
11145	0.046301
11183	0.058610
11287	0.022748
11311	0.006818
11395	0.033993
11465	0.019091
11497	0.049041
11517	0.054376
11605	0.017704
11647	0.031824
11656	0.025865
11679	0.044133
11721	0.037225
11752	0.073088
11761	0.065849
11835	0.028425
11851	0.045527
11980	0.017518
11988	0.019639
11990	0.016433
12075	0.025312
12092	0.008678
12141	0.027589
12210	0.047809
12278	0.040343
12326	0.059639
12336	0.073088
12343	0.123229
12347	0.118969
12392	0.006836
12482	0.065849
12598	0.011191
12670	0.044807
12731	0.006213
12943	0.020418
12986	0.076577
13011	0.021296
13026	0.050199
13097	0.023718
13184	0.022664
13283	0.035099
13314	0.030156
13334	0.025865
13362	0.008103
13367	0.043499
13373	0.045527
13374	0.039898
13434	0.008462
