87
t_index	tf-idf
25	0.080320
196	0.073554
328	0.087086
394	0.049584
458	0.042206
519	0.089312
588	0.057497
609	0.088896
1002	0.044371
1696	0.079048
1702	0.036095
1720	0.049233
1721	0.302733
2078	0.071671
2197	0.164761
2445	0.055143
2580	0.046210
2585	0.152282
2591	0.123584
2734	0.331342
2912	0.061835
2919	0.043399
2984	0.080320
3641	0.061218
3692	0.054264
3739	0.075600
4247	0.021821
4269	0.042206
4381	0.038178
4407	0.025839
4588	0.062438
4697	0.110447
4717	0.037534
4859	0.027029
4993	0.079048
5042	0.017365
5215	0.039523
5315	0.035084
5763	0.112925
6069	0.216384
6070	0.179713
6589	0.018297
6646	0.030452
6949	0.231391
6991	0.031007
7083	0.112925
7262	0.063373
7438	0.031991
7622	0.033727
7709	0.186393
7717	0.164604
7853	0.028139
7951	0.081664
7954	0.027097
8192	0.063057
8319	0.041695
8379	0.338433
8890	0.083837
9050	0.028714
9131	0.037747
9275	0.074555
9339	0.083644
9498	0.253500
9743	0.203750
9778	0.087086
9821	0.023627
9854	0.083837
9891	0.085406
9909	0.036195
10036	0.058509
10160	0.040463
10166	0.038178
10234	0.028803
10737	0.076141
11311	0.030711
11477	0.118836
11627	0.065686
11632	0.148098
11864	0.043811
11980	0.013151
12896	0.122462
12927	0.054920
12967	0.138206
12995	0.075072
13011	0.028777
13184	0.051043
13362	0.018250
