124
t_index	tf-idf
372	0.068046
387	0.055854
503	0.070674
716	0.048830
717	0.053079
862	0.093456
956	0.047451
1461	0.060689
1470	0.063219
1502	0.072111
1782	0.066449
2244	0.159209
2413	0.190599
2548	0.159209
2739	0.070996
2820	0.074729
2852	0.022347
3111	0.068464
3121	0.019928
3200	0.087880
3333	0.035797
3403	0.039606
3412	0.070674
3571	0.079667
3769	0.030942
3798	0.159209
4000	0.032020
4009	0.144222
4016	0.070214
4036	0.047451
4154	0.028634
4193	0.102680
4268	0.076457
4476	0.060689
4712	0.032105
4730	0.067234
4827	0.059522
5102	0.061296
5199	0.080367
5256	0.059522
5311	0.017036
5397	0.227600
5500	0.097603
5548	0.028489
5584	0.033934
5623	0.080367
5648	0.111226
5650	0.134216
5712	0.066838
5755	0.029991
5961	0.044623
6005	0.047284
6021	0.066449
6228	0.134216
6441	0.069764
6645	0.021211
6774	0.087880
6887	0.050681
6913	0.029454
6980	0.051070
7080	0.037032
7243	0.104659
7255	0.029991
7573	0.036822
7597	0.159209
7605	0.059522
7715	0.079450
7796	0.045071
8117	0.054433
8496	0.120196
8528	0.049009
8572	0.143440
8680	0.041715
8728	0.213655
8972	0.037240
9257	0.052072
9303	0.027773
9377	0.078946
9784	0.104659
9795	0.094756
9839	0.118448
9851	0.159209
9967	0.054446
9995	0.068464
10025	0.072611
10451	0.106827
10581	0.013952
10633	0.097603
10786	0.118448
10835	0.038339
10982	0.068889
11038	0.044772
11066	0.159209
11113	0.059522
11404	0.065321
11504	0.109224
11545	0.014852
11599	0.095238
11629	0.024683
11799	0.075867
11953	0.081089
11995	0.048830
12215	0.012720
12355	0.159209
12394	0.053554
12401	0.042780
12539	0.058685
12626	0.029784
12959	0.056343
12964	0.027068
13123	0.204138
13125	0.145222
13175	0.133428
13221	0.159209
13227	0.072611
13284	0.030861
13285	0.198625
13298	0.099173
13359	0.075291
13383	0.070674
13483	0.049552
13553	0.159209
13674	0.018432
13710	0.057877
