49
t_index	tf-idf
25	0.135921
272	0.278549
676	0.166039
687	0.069711
746	0.089009
780	0.050744
829	0.127934
1002	0.225257
1482	0.113647
1512	0.099011
1817	0.155522
2197	0.092939
2384	0.089009
2922	0.095658
3038	0.223373
3078	0.099896
3239	0.428983
3641	0.051798
4203	0.106181
5027	0.195785
5042	0.014692
5239	0.102674
5968	0.088001
6069	0.122058
6268	0.155522
6422	0.081301
6646	0.051532
6931	0.165784
7033	0.089009
7300	0.137355
7438	0.108272
7653	0.082438
7757	0.234823
7913	0.119783
8280	0.024613
9131	0.063876
9132	0.088001
10234	0.032494
10593	0.132735
11059	0.289410
11560	0.183110
11652	0.114931
11863	0.108333
12392	0.026055
12484	0.147371
13011	0.008116
13138	0.072532
13206	0.067471
13270	0.101726
