156
t_index	tf-idf
3	0.125899
6	0.139739
9	0.062031
21	0.139739
114	0.056084
200	0.087045
202	0.129278
229	0.085667
363	0.139739
444	0.139739
458	0.035831
525	0.028480
687	0.034972
694	0.036051
1172	0.209772
1320	0.035183
1527	0.085667
1565	0.074621
1603	0.051033
1688	0.044091
1858	0.051508
1995	0.055197
2070	0.032319
2154	0.029333
2159	0.070539
2247	0.050799
2384	0.044653
2448	0.071827
2468	0.062314
2560	0.019133
2580	0.019615
2809	0.039166
2882	0.113730
2895	0.032973
2903	0.062863
2932	0.095867
3065	0.066589
3206	0.053267
3540	0.137654
3598	0.071008
3802	0.213517
3810	0.050340
3937	0.073931
3968	0.035290
4076	0.032690
4082	0.072549
4128	0.092502
4191	0.062031
4344	0.067640
4355	0.098219
4481	0.060464
4577	0.066083
4604	0.161894
4782	0.235605
4809	0.021827
4941	0.093763
4942	0.098219
4956	0.139739
4968	0.034763
4970	0.057657
5009	0.066589
5042	0.007371
5108	0.039427
5156	0.084379
5253	0.059365
5279	0.025005
5315	0.009928
5345	0.065590
5385	0.090343
5419	0.049628
5447	0.058664
5469	0.050340
5485	0.028480
5590	0.053006
5746	0.083168
5812	0.221952
6378	0.018617
6419	0.029733
6656	0.033069
6720	0.049023
6760	0.022946
6797	0.073205
6813	0.097511
7092	0.069183
7394	0.043332
7453	0.034867
7675	0.056699
7716	0.088237
7799	0.018341
7889	0.044997
7954	0.046007
7997	0.034351
8101	0.051995
8138	0.040369
8280	0.049389
8422	0.036614
8582	0.057987
8714	0.016343
8870	0.029733
9116	0.042859
9348	0.095867
9353	0.200458
9580	0.037548
9650	0.042549
9760	0.056699
9841	0.135514
9869	0.049671
9960	0.124062
10000	0.058664
10140	0.057332
10214	0.107603
10346	0.024492
10387	0.060091
10606	0.030984
10737	0.064639
10739	0.139739
10848	0.063292
10874	0.063731
10938	0.068187
11085	0.123255
11089	0.045171
11116	0.059365
11123	0.043654
11232	0.125899
11311	0.013036
11432	0.052494
11504	0.063731
11512	0.060464
11655	0.047788
11656	0.049452
11832	0.084379
11833	0.088629
11867	0.046251
11980	0.066988
12052	0.054909
12124	0.024814
12141	0.052749
12160	0.094009
12165	0.078949
12210	0.091408
12255	0.055197
12268	0.066589
12731	0.011879
13011	0.016287
13026	0.047988
13136	0.093763
13155	0.032504
13185	0.044824
13194	0.073931
13233	0.042703
13298	0.117803
13336	0.049502
13346	0.029977
13358	0.057987
13434	0.016178
13449	0.167352
