84
t_index	tf-idf
366	0.074983
397	0.145075
482	0.103151
492	0.091098
668	0.117770
857	0.392550
865	0.061299
925	0.062985
1096	0.051461
1377	0.093353
1480	0.178872
1542	0.116004
1592	0.078974
1619	0.102922
1623	0.104369
1627	0.151513
2445	0.130756
2511	0.093838
3066	0.069270
3121	0.030936
3333	0.055569
3447	0.084167
3547	0.183871
3567	0.098661
3801	0.063761
3880	0.083133
3959	0.079277
4125	0.145075
4174	0.075253
4397	0.078974
4520	0.032763
4617	0.119629
4734	0.108992
4798	0.133474
5103	0.059689
6049	0.046556
6256	0.048285
6470	0.078974
6610	0.117770
6786	0.178872
6817	0.106938
6818	0.183871
7051	0.091098
7140	0.056836
7173	0.099731
7462	0.123670
7467	0.115153
7573	0.114319
7961	0.058150
8206	0.035475
8464	0.055933
8623	0.090675
8752	0.141354
9077	0.122615
9441	0.084518
9553	0.076357
9631	0.057817
9803	0.095151
10016	0.159393
10127	0.133474
10569	0.088634
10581	0.064976
10672	0.171920
10791	0.076357
10982	0.106938
11206	0.132089
11213	0.058655
11402	0.113510
11665	0.092843
11816	0.075526
11894	0.072135
12034	0.119629
12150	0.059515
12178	0.078974
12401	0.066408
12626	0.046235
12964	0.042019
12977	0.054046
13384	0.178427
13441	0.059864
13524	0.094677
13573	0.043775
13681	0.053602
13682	0.075801
