134
t_index	tf-idf
155	0.079383
623	0.054337
654	0.091101
744	0.045098
783	0.046978
1072	0.017408
1113	0.060257
1320	0.059574
1347	0.091101
1373	0.051191
1565	0.094765
1696	0.056815
1741	0.065239
1872	0.069541
1993	0.053957
2070	0.082086
2109	0.029877
2133	0.066054
2197	0.039474
2247	0.043008
2297	0.072529
2560	0.016199
2660	0.035638
2730	0.118308
2864	0.014809
2895	0.027916
2978	0.140826
3053	0.060257
3530	0.029787
3540	0.038847
3551	0.036418
3552	0.111896
3692	0.039002
3776	0.091101
4068	0.062592
4155	0.088462
4175	0.083155
4218	0.048269
4317	0.046012
4462	0.026087
4554	0.027440
4781	0.038096
4859	0.019427
4963	0.039796
5009	0.056376
5366	0.083155
5385	0.038244
5419	0.021009
5491	0.044572
5636	0.099736
5664	0.060257
5812	0.375825
5813	0.105035
5917	0.045322
6298	0.199472
6378	0.015762
6416	0.061978
6488	0.099736
6497	0.099736
6646	0.021887
6656	0.027997
6907	0.081164
6997	0.094873
7015	0.111896
7194	0.047741
7230	0.118308
7290	0.099736
7348	0.088018
7349	0.099736
7432	0.144616
7438	0.022993
7453	0.059039
7943	0.033963
8210	0.026775
8526	0.304057
8527	0.083155
8554	0.145058
8556	0.083155
8566	0.133682
8714	0.027673
8766	0.118308
8819	0.058696
8832	0.106590
8881	0.099736
8938	0.027756
8962	0.106590
9060	0.094873
9106	0.064584
9306	0.036552
9339	0.030059
9353	0.212143
9485	0.094873
9519	0.118308
9717	0.033270
9821	0.033963
9828	0.047741
9842	0.052518
9849	0.121886
9909	0.026015
10045	0.046248
10140	0.097079
10183	0.050260
10234	0.034503
10437	0.041149
10450	0.034412
10652	0.061978
10744	0.053586
10814	0.077772
10854	0.106590
10878	0.044231
10938	0.057729
11123	0.073918
11126	0.058206
11311	0.011037
11424	0.030999
11495	0.041868
11504	0.053957
11635	0.199472
11681	0.070413
11777	0.083155
11863	0.046012
11896	0.056376
11929	0.118308
12141	0.044659
12167	0.031790
12392	0.011066
12408	0.106590
12726	0.041868
12759	0.094873
12881	0.079591
13011	0.020684
13184	0.036686
13185	0.037950
13374	0.064584
