36
t_index	tf-idf
384	0.134387
403	0.113147
1049	0.259793
1060	0.077198
1158	0.067695
2027	0.177904
2066	0.108660
2511	0.241351
2941	0.201936
3333	0.095281
4174	0.129034
4654	0.098289
5695	0.305942
5719	0.096087
5854	0.160746
6645	0.056458
6911	0.109666
7961	0.099707
8132	0.094486
8336	0.169170
8352	0.196024
8444	0.268458
8464	0.095905
9079	0.190638
9800	0.177904
10086	0.111035
10474	0.090414
10581	0.074274
11629	0.065699
11894	0.123687
12150	0.102048
12362	0.144318
12487	0.183363
12964	0.108073
13094	0.180029
13166	0.423770
