51
t_index	tf-idf
781	0.183259
782	0.046774
1349	0.038365
1630	0.113525
1904	0.112119
1992	0.237823
2237	0.219799
2759	0.081451
3298	0.219799
3337	0.093505
3856	0.131613
3889	0.260728
4116	0.129354
4269	0.129354
4520	0.034564
5019	0.106376
5256	0.097476
5584	0.018524
5686	0.046299
5734	0.093926
7536	0.092270
7579	0.159840
7700	0.050672
7927	0.097945
8462	0.079966
8840	0.092677
9232	0.423158
9377	0.025857
9419	0.152199
9588	0.101923
9871	0.200768
10100	0.075065
10129	0.057332
10422	0.079966
10423	0.072836
10581	0.022849
10730	0.065251
11146	0.188233
11388	0.082371
11568	0.074558
11809	0.091074
12151	0.121482
12358	0.046299
12502	0.124243
12743	0.376466
12964	0.066492
13194	0.097945
13244	0.015194
13259	0.089538
13388	0.114982
13689	0.104083
