192
t_index	tf-idf
3	0.073056
368	0.050195
370	0.048322
436	0.038078
487	0.042680
498	0.022582
667	0.030201
684	0.022531
691	0.070585
693	0.066858
717	0.015815
769	0.042395
790	0.066685
793	0.053602
816	0.073056
840	0.070585
906	0.068495
926	0.052971
1091	0.147593
1158	0.045467
1178	0.045210
1283	0.057288
1309	0.036165
1328	0.106922
1334	0.031913
1335	0.015308
1349	0.013960
1459	0.041842
1523	0.068495
1672	0.065088
1756	0.070585
2049	0.049226
2186	0.121649
2188	0.032581
2549	0.019285
2692	0.050195
2739	0.021154
2834	0.040798
2859	0.044867
2863	0.118719
3087	0.070585
3115	0.043575
3121	0.011876
3176	0.032044
3209	0.029861
3219	0.045923
3700	0.042395
3880	0.031913
3885	0.141169
3906	0.136990
3930	0.047892
4036	0.056553
4170	0.035988
4391	0.042115
4406	0.066685
4424	0.045562
4428	0.035470
4442	0.122376
4450	0.070585
4493	0.043886
4499	0.040065
4505	0.029529
4520	0.037732
4542	0.024327
4662	0.043886
4730	0.040065
4738	0.020577
4749	0.082103
4753	0.063660
4827	0.035470
4918	0.066685
4923	0.040065
5051	0.025493
5054	0.062368
5075	0.076081
5103	0.022914
5125	0.028477
5157	0.076156
5169	0.042395
5311	0.005076
5343	0.031402
5399	0.070585
5454	0.052971
5559	0.122376
5584	0.006741
5587	0.070585
5634	0.134600
5719	0.021512
5961	0.026592
6021	0.118793
6330	0.120916
6477	0.060103
6504	0.056466
6731	0.052971
6856	0.021092
6932	0.030201
6937	0.020297
7027	0.062315
7043	0.044532
7140	0.021818
7157	0.070585
7161	0.035641
7164	0.026948
7165	0.028681
7188	0.076081
7379	0.050195
7398	0.060103
7438	0.044867
7464	0.188366
7556	0.049702
7573	0.021943
7758	0.033575
7853	0.031153
7863	0.022582
7869	0.047892
7971	0.057288
7979	0.019969
8206	0.027236
8489	0.058163
8566	0.152647
8584	0.061188
8680	0.024859
8846	0.042395
8884	0.027884
9029	0.045562
9142	0.086353
9143	0.041052
9185	0.024253
9303	0.016550
9310	0.045210
9465	0.093354
9792	0.025493
9807	0.031784
9837	0.028888
10088	0.033724
10117	0.033284
10120	0.059098
10204	0.023048
10223	0.282339
10324	0.051238
10355	0.065438
10467	0.246131
10471	0.044271
10514	0.048767
10521	0.066685
10533	0.063660
10704	0.103620
10731	0.205258
10750	0.341366
10777	0.048767
10817	0.048322
10832	0.047919
11011	0.047919
11054	0.028579
11157	0.079659
11200	0.066685
11341	0.066685
11456	0.068495
11497	0.060103
11502	0.076081
11625	0.076081
11684	0.065088
11751	0.060103
11929	0.045210
11994	0.015855
12026	0.051238
12157	0.065088
12215	0.015160
12228	0.059058
12326	0.058163
12327	0.011265
12347	0.125525
12438	0.124719
12464	0.059098
12504	0.047070
12518	0.016509
12530	0.070585
12587	0.068495
12621	0.044205
12626	0.017749
12964	0.016130
13074	0.092590
13115	0.027884
13169	0.068495
13202	0.068495
13244	0.013822
13350	0.049702
13373	0.028981
13462	0.037673
13492	0.082789
13499	0.053360
13674	0.043936
