200
t_index	tf-idf
209	0.036898
369	0.042365
408	0.013711
508	0.257723
525	0.047068
616	0.095288
676	0.034415
746	0.036898
849	0.031126
1063	0.057780
1276	0.042563
1320	0.029073
1364	0.061714
1565	0.030831
1603	0.042170
1702	0.025321
1792	0.029608
1819	0.115470
1840	0.097344
1921	0.058812
1963	0.057288
1991	0.028385
1995	0.182442
2007	0.081161
2070	0.053412
2082	0.035287
2365	0.055453
2521	0.057288
2533	0.063035
2587	0.054606
2629	0.042170
2693	0.038841
2707	0.097344
2864	0.043361
2895	0.027247
2903	0.051946
3141	0.028725
3150	0.102516
3206	0.044016
3341	0.116576
3451	0.101196
3530	0.029073
3540	0.075832
3608	0.077682
3950	0.045139
3955	0.061714
4035	0.029975
4100	0.083364
4209	0.047917
4214	0.028218
4310	0.063737
4387	0.048194
4458	0.049055
4462	0.050923
4466	0.025044
4521	0.037472
4525	0.064470
4765	0.104034
4777	0.119825
4780	0.031126
4798	0.097344
4813	0.056345
4963	0.038841
5009	0.055024
5237	0.075907
5239	0.042563
5272	0.031427
5315	0.041019
5366	0.081161
5411	0.064470
5419	0.020505
5485	0.117669
5666	0.040162
5705	0.035939
5740	0.034294
5812	0.137554
6031	0.046096
6089	0.115470
6351	0.092597
6419	0.024569
6422	0.033703
6507	0.063737
6563	0.069725
6599	0.057279
6646	0.021362
6665	0.036757
6746	0.034908
6760	0.018961
6807	0.031734
6831	0.102516
6876	0.026555
7003	0.185195
7033	0.036898
7050	0.069725
7074	0.055775
7092	0.019056
7125	0.096388
7149	0.042170
7186	0.075907
7262	0.044456
7688	0.075907
7696	0.092597
7799	0.015156
7826	0.063057
7839	0.060491
7862	0.051598
7997	0.028385
8209	0.018172
8238	0.043588
8280	0.020406
8299	0.056882
8490	0.115470
8566	0.065238
8597	0.025044
8599	0.029249
8633	0.077479
8714	0.013505
8737	0.079218
8739	0.115470
8821	0.051946
8879	0.059912
8884	0.035033
8944	0.025818
9034	0.097344
9039	0.104034
9071	0.063737
9132	0.036480
9198	0.047112
9306	0.107025
9353	0.041411
9491	0.158435
9580	0.031027
9689	0.048194
9708	0.037472
9747	0.044235
9753	0.032472
9760	0.046852
9763	0.081161
9785	0.086755
9821	0.016574
9828	0.046596
9841	0.111979
9842	0.102516
9869	0.041044
10073	0.048194
10140	0.142127
10234	0.026941
10346	0.020238
10420	0.104034
10697	0.128941
10772	0.059912
10802	0.032472
10818	0.034783
10828	0.066889
10899	0.115470
10918	0.070789
10971	0.061714
10977	0.027405
10989	0.056345
11020	0.073150
11059	0.159964
11084	0.037618
11153	0.036480
11311	0.010772
11465	0.060322
11471	0.073150
11504	0.105326
11605	0.027970
11655	0.039488
11656	0.040864
11673	0.092597
11721	0.058812
11832	0.139449
11980	0.018451
12028	0.020715
12092	0.013711
12137	0.022678
12183	0.115470
12189	0.044235
12210	0.037766
12222	0.052663
12225	0.051598
12391	0.065238
12392	0.043204
12449	0.063035
12647	0.088916
12658	0.085908
12666	0.079218
12745	0.020928
12941	0.055893
12972	0.170429
13011	0.037010
13081	0.088916
13097	0.074944
13117	0.060491
13179	0.031837
13185	0.037040
13296	0.067639
13339	0.033819
13434	0.013368
