227
t_index	tf-idf
3	0.066190
368	0.045477
370	0.043781
436	0.034499
487	0.116008
498	0.020460
667	0.027363
684	0.010207
691	0.063951
693	0.060574
717	0.014329
737	0.022041
756	0.068931
769	0.038411
790	0.060418
793	0.048564
816	0.066190
840	0.063951
906	0.062058
926	0.047993
1091	0.133722
1158	0.041194
1178	0.040961
1264	0.068931
1283	0.051904
1309	0.032767
1328	0.161455
1334	0.028914
1335	0.013869
1349	0.012648
1459	0.037909
1523	0.062058
1672	0.058971
1756	0.063951
2021	0.043013
2049	0.044600
2186	0.146955
2188	0.029519
2402	0.056506
2549	0.017472
2651	0.035670
2692	0.045477
2739	0.019166
2834	0.036964
2859	0.040650
2863	0.107562
3087	0.063951
3115	0.039479
3121	0.010760
3176	0.029033
3209	0.054109
3219	0.041608
3700	0.038411
3801	0.022176
3880	0.028914
3885	0.063951
3906	0.124115
3930	0.043391
4036	0.051238
4170	0.032606
4391	0.038157
4406	0.060418
4424	0.041280
4428	0.064273
4442	0.110875
4450	0.063951
4493	0.039762
4499	0.072600
4505	0.026754
4520	0.045581
4542	0.022041
4662	0.039762
4730	0.036300
4738	0.018643
4749	0.074387
4753	0.057677
4827	0.032137
4918	0.060418
4923	0.036300
5051	0.023097
5054	0.056506
5075	0.068931
5103	0.041520
5125	0.025801
5157	0.068999
5169	0.038411
5300	0.051160
5311	0.004599
5343	0.028451
5399	0.063951
5414	0.032291
5454	0.047993
5559	0.110875
5561	0.072465
5584	0.006107
5587	0.063951
5634	0.121950
5719	0.019490
5961	0.024093
6021	0.107629
6140	0.035071
6330	0.146069
6413	0.039479
6446	0.056506
6477	0.054454
6504	0.051160
6648	0.049163
6731	0.047993
6750	0.051904
6856	0.019109
6932	0.027363
6937	0.018390
7027	0.070573
7043	0.040347
7140	0.019768
7157	0.063951
7161	0.032291
7164	0.024416
7165	0.025986
7188	0.068931
7255	0.016192
7353	0.014186
7379	0.045477
7398	0.054454
7412	0.031392
7438	0.040650
7464	0.170663
7556	0.090062
7573	0.019880
7691	0.062058
7758	0.060840
7853	0.028225
7863	0.020460
7869	0.043391
7971	0.051904
7979	0.018093
8076	0.072465
8206	0.024676
8489	0.052697
8566	0.138301
8584	0.055438
8680	0.022522
8846	0.038411
8884	0.050526
9029	0.041280
9142	0.104317
9143	0.037194
9185	0.021973
9303	0.014995
9310	0.040961
9465	0.084580
9523	0.029644
9716	0.026557
9792	0.023097
9807	0.028797
9837	0.026173
10088	0.030554
10100	0.024748
10117	0.030156
10120	0.053544
10204	0.020882
10223	0.319755
10324	0.046423
10355	0.059288
10423	0.024013
10467	0.178399
10471	0.045124
10473	0.051904
10514	0.044183
10521	0.060418
10533	0.057677
10704	0.093882
10731	0.223162
10750	0.309284
10777	0.044183
10817	0.043781
10832	0.043416
10841	0.019059
11011	0.043416
11054	0.025893
11128	0.043391
11157	0.072173
11200	0.060418
11300	0.052697
11341	0.060418
11456	0.062058
11497	0.054454
11502	0.068931
11538	0.023623
11568	0.024581
11625	0.068931
11684	0.058971
11751	0.054454
11841	0.068931
11929	0.040961
11994	0.014365
12026	0.046423
12157	0.058971
12215	0.013736
12228	0.053507
12326	0.052697
12327	0.010207
12347	0.113728
12438	0.150664
12464	0.053544
12504	0.042646
12518	0.014957
12530	0.063951
12587	0.062058
12621	0.040051
12626	0.016081
12945	0.040650
12964	0.014614
13025	0.058971
13074	0.083888
13169	0.062058
13202	0.062058
13244	0.007514
13350	0.045031
13361	0.038669
13373	0.026258
13412	0.023700
13462	0.034133
13492	0.075008
13499	0.048345
13552	0.028680
13674	0.039807
