43
t_index	tf-idf
524	0.108165
1060	0.074033
1187	0.201623
1279	0.109548
1598	0.102321
1801	0.130359
2084	0.245394
2428	0.085308
2511	0.077152
3333	0.091375
3666	0.221849
4349	0.095071
4542	0.104204
4563	0.302349
4678	0.063795
5019	0.165808
5256	0.151936
5395	0.325894
5686	0.072166
5712	0.170610
6645	0.054143
6866	0.100797
7564	0.100198
7571	0.170610
7700	0.078982
9130	0.126020
9423	0.325894
9440	0.221849
9862	0.123743
10004	0.152666
10055	0.172647
10129	0.089363
10474	0.173414
10835	0.097863
10959	0.100797
10988	0.143820
11995	0.124643
12358	0.072166
12487	0.175845
12626	0.038013
12964	0.034547
12977	0.088871
13689	0.162233
