46
t_index	tf-idf
155	0.311722
386	0.093235
401	0.126480
797	0.191102
868	0.076628
1334	0.104855
1652	0.225049
2233	0.219101
2513	0.225049
2852	0.087510
3117	0.130865
3171	0.117101
3327	0.099991
3921	0.176115
4520	0.041324
4654	0.072301
5515	0.280848
5584	0.044294
6760	0.133231
7412	0.113841
7972	0.176493
8206	0.044744
8216	0.051315
8391	0.139294
8463	0.049056
9377	0.061829
9465	0.153362
9588	0.365571
10071	0.114368
10422	0.095607
10423	0.087082
10471	0.018182
11102	0.157354
11492	0.144194
11550	0.104855
11771	0.127182
11835	0.075506
11879	0.135729
12093	0.082967
12959	0.110316
13194	0.117101
13199	0.130865
13285	0.077779
13571	0.110316
13674	0.036089
13680	0.249975
