140
t_index	tf-idf
72	0.145261
361	0.045045
588	0.261749
677	0.039408
684	0.034496
737	0.037247
804	0.029606
1072	0.084147
1096	0.030247
1158	0.023205
1349	0.042749
1521	0.061711
1649	0.062854
1681	0.090485
1728	0.048862
1730	0.122459
1733	0.199311
1789	0.064483
1962	0.045834
1978	0.078450
2027	0.060983
2313	0.059936
2335	0.102100
2344	0.069760
2438	0.066717
2675	0.079298
2700	0.044072
2739	0.032388
2759	0.090759
2806	0.079298
2939	0.048664
3084	0.049063
3154	0.034277
3171	0.109138
3285	0.037476
3337	0.052095
3402	0.044552
3408	0.048272
3715	0.059936
3914	0.067682
3988	0.064063
4036	0.043294
4109	0.159149
4152	0.059598
4158	0.053050
4160	0.048467
4174	0.044231
4284	0.082069
4327	0.087713
4375	0.081104
4496	0.122459
4537	0.076853
4857	0.056495
4953	0.172910
5026	0.056168
5101	0.111856
5233	0.048862
5256	0.217231
5402	0.041964
5479	0.078450
5490	0.078450
5512	0.067682
5648	0.050741
5737	0.150739
5750	0.029606
5885	0.070313
5929	0.080181
5930	0.050524
6049	0.054727
6146	0.204547
6173	0.077636
6239	0.130874
6544	0.049470
6604	0.084147
6686	0.030908
6933	0.184046
6980	0.093191
7027	0.047705
7098	0.064483
7526	0.055926
7621	0.116487
7938	0.058939
8063	0.108072
8147	0.037592
8216	0.023912
8400	0.082069
8443	0.057989
8463	0.045720
8464	0.032875
8537	0.012835
8538	0.145261
8566	0.029215
8720	0.086455
8972	0.033977
9079	0.065348
9128	0.030908
9137	0.075370
9196	0.034080
9260	0.057378
9389	0.111856
9419	0.084796
9493	0.093685
9586	0.036907
9591	0.102100
9766	0.059266
9857	0.104872
9972	0.040849
10040	0.062551
10086	0.038061
10128	0.111856
10258	0.086455
10327	0.063249
10581	0.025460
10685	0.042252
10727	0.051853
10847	0.088461
10980	0.083082
10989	0.087713
11156	0.097469
11376	0.108072
11499	0.115977
11545	0.013551
11574	0.076853
11690	0.083082
11721	0.079298
11995	0.044552
12036	0.083082
12161	0.202964
12311	0.050309
12327	0.017248
12362	0.098940
12397	0.033692
12443	0.082069
12831	0.022242
13244	0.008465
13284	0.028158
13323	0.111856
13357	0.055647
13412	0.040051
13625	0.064483
