5,8,8
10,10,8
15,11,8
20,10,6
25,10,8
30,12,8
35,8,2
40,8,8
45,2,3
50,8,8
55,8,8
60,10,8
65,10,6
70,5,6
75,12,3
80,12,1
85,10,2
90,12,4
95,7,3
100,6,3
105,12,8
110,10,1
115,8,8
120,10,2
125,6,8
130,12,4
135,8,2
140,12,2
145,8,8
150,8,2
155,12,1
160,12,2
165,11,8
170,8,2
175,10,6
180,4,3
185,12,8
190,11,8
195,11,8
200,12,8
205,10,8
210,6,8
215,10,8
220,6,9
225,8,2
230,12,3
235,5,4
240,12,2
245,2,8
250,12,8
255,10,4
260,11,2
265,8,2
270,10,3
275,12,2
280,8,3
285,8,2
290,11,8
295,12,8
300,6,3
305,10,8
310,6,8
315,10,8
320,12,8
325,10,2
330,12,2
335,12,0
340,2,2
345,10,2
350,12,8
355,12,2
360,8,8
365,10,2
370,12,8
375,8,1
380,11,11
385,6,6
390,12,0
395,11,2
400,10,4
405,6,2
410,2,8
415,12,3
420,9,3
425,3,2
430,10,4
435,8,6
440,7,3
445,3,4
450,8,2
455,12,2
460,10,2
465,8,8
470,10,2
475,12,2
480,8,2
485,12,0
490,8,8
495,0,8
500,10,8
505,10,8
510,8,2
515,12,2
520,10,4
525,9,0
530,12,0
535,8,9
540,8,8
545,3,8
550,10,8
555,11,8
560,12,9
565,10,3
570,12,3
575,10,2
580,10,2
585,12,3
590,12,6
595,8,8
600,12,0
605,10,9
610,10,4
615,8,0
620,7,3
625,5,3
630,5,4
635,10,8
640,8,8
645,12,8
650,11,0
655,10,8
660,8,12
665,8,12
670,12,3
675,8,2
680,9,8
685,12,0
690,12,3
695,12,4
700,10,9
705,8,2
710,10,9
715,12,2
720,8,2
725,8,9
730,10,8
735,10,2
740,3,2
745,8,8
750,8,3
755,10,3
760,8,8
765,12,2
770,10,2
775,12,3
780,6,6
785,7,6
790,12,4
795,6,8
800,2,2
805,12,9
810,4,8
815,12,8
820,4,4
825,3,9
830,12,0
835,8,8
840,12,2
845,12,8
850,10,2
855,10,0
860,8,8
865,10,0
870,8,0
875,10,8
880,7,4
885,10,2
890,10,8
895,8,2
900,10,8
905,8,2
910,6,8
915,8,2
920,11,2
925,8,3
930,7,8
935,12,11
940,8,8
945,8,8
950,12,9
955,12,3
960,10,4
965,12,0
970,10,2
975,7,6
980,12,3
985,5,11
990,11,4
995,10,2
1000,8,0
1005,12,8
1010,8,0
1015,8,2
1020,12,2
1025,9,8
1030,12,4
1035,11,2
1040,12,8
1045,5,12
1050,12,2
1055,12,0
1060,11,3
1065,7,8
1070,2,8
1075,1,3
1080,12,0
1085,6,8
1090,12,8
1095,2,2
1100,10,1
1105,1,8
1110,12,2
1115,10,2
1120,12,8
1125,12,8
1130,10,8
1135,11,1
1140,12,8
1145,8,8
1150,8,2
1155,12,2
1160,1,2
1165,6,9
1170,11,3
1175,8,2
1180,10,2
1185,8,2
1190,10,0
1195,10,4
1200,2,8
1205,8,8
1210,7,0
1215,8,0
1220,11,8
1225,4,2
1230,7,8
1235,6,8
1240,12,6
1245,12,4
1250,9,6
1255,12,3
1260,12,8
1265,7,9
1270,10,8
1275,12,0
1280,9,0
1285,12,4
1290,6,2
1295,10,8
1300,10,8
1305,8,4
1310,10,9
1315,11,3
1320,12,8
1325,5,8
1330,11,2
1335,12,8
1340,12,8
1345,10,9
1350,12,8
1355,12,9
1360,10,3
1365,10,6
1370,10,8
1375,10,3
1380,12,8
1385,0,6
1390,12,2
1395,10,0
1400,10,8
1405,12,2
1410,10,4
1415,12,2
1420,8,8
1425,7,2
1430,12,0
1435,8,8
1440,12,6
1445,12,8
1450,10,6
1455,12,2
1460,8,2
1465,8,8
1470,10,2
1475,10,6
1480,10,3
1485,12,8
1490,8,4
1495,5,4
1500,6,10
1505,10,8
1510,7,3
1515,8,8
1520,10,8
1525,12,0
1530,10,3
1535,12,8
1540,10,12
1545,4,8
1550,12,0
1555,8,8
1560,12,9
1565,12,8
1570,12,2
1575,10,0
1580,12,2
1585,12,0
1590,12,3
1595,10,0
1600,12,2
1605,12,2
1610,4,3
1615,10,8
1620,11,2
1625,12,2
1630,11,8
1635,10,2
1640,12,8
1645,6,2
1650,10,2
1655,6,8
1660,8,3
1665,12,0
1670,12,8
1675,10,8
1680,8,11
1685,9,2
1690,11,8
1695,10,6
1700,12,4
1705,11,0
1710,12,8
1715,2,4
1720,10,8
1725,12,2
1730,6,8
1735,12,3
1740,7,0
1745,12,8
1750,12,6
1755,12,4
1760,8,2
1765,8,4
1770,12,0
1775,12,0
1780,2,8
1785,8,2
1790,8,8
1795,8,8
1800,8,1
1805,6,9
1810,10,0
1815,8,8
1820,12,2
1825,12,8
1830,12,8
1835,12,3
1840,12,6
1845,8,6
1850,8,2
1855,5,9
1860,10,9
1865,10,8
1870,12,8
1875,8,1
1880,8,2
1885,5,4
1890,10,8
1895,11,0
1900,11,9
1905,2,2
1910,12,3
1915,12,2
1920,8,4
1925,12,3
1930,12,6
1935,8,2
1940,12,2
1945,12,3
1950,8,0
1955,10,2
1960,8,8
1965,11,0
1970,6,2
1975,10,2
1980,8,0
1985,10,0
1990,12,0
1995,12,0
2000,8,2
2005,12,8
2010,10,3
2015,10,8
2020,12,2
2025,12,6
2030,10,4
2035,12,2
2040,12,2
2045,10,2
2050,10,8
2055,10,8
2060,12,8
2065,7,0
2070,4,3
2075,12,4
2080,8,0
2085,4,4
2090,6,2
2095,8,3
2100,12,4
2105,12,3
2110,8,2
2115,10,8
2120,10,4
2125,10,8
2130,12,2
2135,12,6
2140,8,6
2145,6,8
2150,10,2
2155,7,9
2160,5,0
2165,9,9
2170,8,8
2175,12,0
2180,10,3
2185,10,4
2190,10,2
2195,3,6
2200,10,6
2205,12,8
2210,6,8
2215,9,8
2220,10,2
2225,5,9
2230,12,3
2235,10,1
2240,10,6
2245,10,0
2250,2,8
2255,6,2
2260,7,8
2265,3,9
2270,8,6
2275,7,9
